d18O SMOW;Analysis;Date;clock time;time after start single run (h);east-west (um);north-south (um);primary current (nA);16O ions per sec;18O/16O measured;1 SE (permil);16O1H/16O measured;1 SE (%);DT-FA-x (digits);DT-FA-y (digits);entrance slit x (digits);Source Pressure (mbar);18O/16O IMF corrected;d18O SMOW
19.5;Map-Otolith@0694;28.11.2021;06:21;37.22;1955;-3332;2.92;1.44E+09;0.00203495;0.24;0.0677;0.62;40;-14;-1;1.00E-08;0.00204431;19.5
20.48;Map-Otolith@0042;26.11.2021;18:12;2.37;2700;-3332;2.85;1.28E+09;0.00203691;0.12;0.026;0.11;35;-12;-46;1.30E-08;0.00204627;20.48
21.77;Map-Otolith@0590;28.11.2021;00:31;31.71;1915;-3332;2.99;1.28E+09;0.00203949;0.13;0.045;0.08;43;-16;7;1.10E-08;0.00204886;21.77
22.59;Map-Otolith@0141;26.11.2021;23:39;7.82;2425;-3168;2.78;1.69E+09;0.00204112;0.14;0.0749;1.08;46;-22;3;1.20E-08;0.00205051;22.59
22.64;Map-Otolith@0490;27.11.2021;19:02;26.55;1756;-2483;2.91;1.81E+09;0.00204122;0.15;0.0454;0.2;43;-26;7;1.10E-08;0.00205061;22.64
22.77;Map-Otolith@0299;27.11.2021;08:26;16.28;1954;-3209;2.84;1.59E+09;0.00204147;0.15;0.0463;0.05;43;-24;9;1.20E-08;0.00205086;22.77
22.91;Map-Otolith@0174;27.11.2021;01:27;9.62;1877;-2922;2.81;1.58E+09;0.00204176;0.15;0.0458;0.1;46;-23;5;1.20E-08;0.00205114;22.91
22.99;Map-Otolith@0365;27.11.2021;12:03;19.57;1716;-2405;2.89;1.83E+09;0.00204192;0.11;0.0428;0.04;43;-29;4;1.20E-08;0.0020513;22.99
23.1;Map-Otolith@0772;28.11.2021;10:39;41.52;1796;-2948;2.91;1.88E+09;0.00204214;0.11;0.0423;0.35;41;-21;11;1.00E-08;0.00205152;23.1
23.15;Map-Otolith@0465;27.11.2021;17:39;25.17;1994;-3086;2.98;1.79E+09;0.00204223;0.11;0.0457;0.04;42;-23;2;1.10E-08;0.00205162;23.15
23.25;Map-Otolith@0457;27.11.2021;17:13;24.74;1877;-3413;2.94;1.63E+09;0.00204243;0.16;0.0479;0.11;41;-18;22;1.10E-08;0.00205181;23.25
23.3;Map-Otolith@0107;26.11.2021;21:46;5.93;2347;-2062;2.78;1.74E+09;0.00204253;0.16;0.0458;0.53;44;-20;3;1.30E-08;0.00205192;23.3
23.32;Map-Otolith@0367;27.11.2021;12:10;19.69;1796;-3297;2.88;1.72E+09;0.00204257;0.15;0.0381;0.33;44;-23;8;1.20E-08;0.00205196;23.32
23.33;Map-Otolith@0523;27.11.2021;20:50;28.03;1716;-2444;2.95;1.88E+09;0.00204259;0.11;0.0435;0.14;42;-26;11;1.10E-08;0.00205198;23.33
23.38;Map-Otolith@0619;28.11.2021;02:14;33.43;1596;-2444;3.03;1.93E+09;0.00204269;0.12;0.0429;0.13;38;-27;13;1.10E-08;0.00205208;23.38
23.4;Map-Otolith@0240;27.11.2021;05:11;13.03;2701;-2963;2.88;1.75E+09;0.00204273;0.11;0.04;0.23;47;-27;3;1.20E-08;0.00205212;23.4
23.41;Map-Otolith@0288;27.11.2021;07:50;15.68;1993;-1734;2.85;1.80E+09;0.00204275;0.12;0.0449;0.26;47;-25;3;1.20E-08;0.00205214;23.41
23.44;Map-Otolith@0575;27.11.2021;23:42;30.9;2033;-3168;2.99;1.87E+09;0.0020428;0.12;0.0462;0.08;44;-22;-7;1.10E-08;0.0020522;23.44
23.44;Map-Otolith@0406;27.11.2021;14:25;21.94;1676;-3297;2.92;1.71E+09;0.00204281;0.12;0.0416;0.22;44;-19;12;1.10E-08;0.0020522;23.44
23.46;Map-Otolith@0181;27.11.2021;01:50;10;1877;-3332;2.84;1.55E+09;0.00204284;0.16;0.0471;0.1;45;-22;17;1.20E-08;0.00205223;23.46
23.51;Map-Otolith@0296;27.11.2021;08:16;16.11;1876;-2963;2.84;1.78E+09;0.00204294;0.12;0.0458;0.15;46;-26;10;1.20E-08;0.00205233;23.51
23.52;Map-Otolith@0003;26.11.2021;16:03;0.22;1954;-1734;2.85;1.85E+09;0.00204297;0.12;0.0456;0.16;24;8;4;1.30E-08;0.00205236;23.52
23.56;Map-Otolith@0333;27.11.2021;10:18;18.14;1556;-2599;2.91;1.82E+09;0.00204305;0.12;0.0445;0.08;44;-29;5;1.20E-08;0.00205244;23.56
23.57;Map-Otolith@0198;27.11.2021;02:46;10.93;1994;-2922;2.83;1.75E+09;0.00204307;0.12;0.0418;0.55;45;-23;-2;1.20E-08;0.00205246;23.57
23.57;Map-Otolith@0579;27.11.2021;23:55;31.11;2033;-1775;3.01;1.97E+09;0.00204308;0.09;0.0394;0.12;42;-32;6;1.10E-08;0.00205247;23.57
