"ID";"ID2";"date";"Distance_um";"d18O";"OH";"SE_permill";"SE_percent"
"19";"margin";2021-06-04;1851.16719936369;-4.9831422;0.046;"0.122";0.047
"19";"BH-90307";2021-06-04;1871.09727165639;-5.5845484;0.048;"0.119";0.058
"19";"BH-90307";2021-06-04;1881.19323834634;-6.9619626;0.048;"0.146";0.126
"19";"BH-90307";2021-06-04;1840.88375515675;-5.0801432;0.05;"0.078";0.028
"19";"BH-90307";2021-06-04;1800.57435281079;-5.6233488;0.049;"0.149";0.119
"19";"BH-90307";2021-06-04;1760.26503686235;-6.6515594;0.048;"0.118";0.054
"19";"BH-90307";2021-06-04;1719.95581338591;-6.8843618;0.053;"0.128";0.097
"19";"BH-90307";2021-06-04;1679.6466890391;-7.7185704;0.058;"0.132";0.087
"19";"BH-90307";2021-06-04;1639.33767113429;-6.0792535;0.046;"0.142";0.052
"19";"BH-90307";2021-06-04;1599.02876772121;-5.1965444;0.048;"0.131";0.053
"19";"BH-90307";2021-06-04;1558.7199876822;-6.21505489999999;0.05;"0.122";0.055
"19";"BH-90307";2021-06-04;1518.41134084279;-4.5563378;0.043;"0.107";0.069
"19";"BH-90307";2021-06-04;1478.10283810025;-4.5563378;0.042;"0.111";0.091
"19";"BH-90307";2021-06-04;1437.79449157381;-5.836751;0.045;"0.118";0.063
"19";"BH-90307";2021-06-04;1397.48631478094;-6.7194601;0.05;"0.090";0.173
"19";"BH-90307";2021-06-04;1357.17832284486;-6.3120559;0.048;"0.103";0.129
"19";"BH-90307";2021-06-04;1316.87053274041;-4.1489336;0.044;"0.129";0.029
"19";"BH-90307";2021-06-04;1276.56296358621;-5.4584471;0.044;"0.131";0.038
"19";"BH-90307";2021-06-04;1236.25563699423;-6.224755;0.046;"0.116";0.072
"19";"BH-90307";2021-06-04;1195.94857748985;-5.7882505;0.051;"0.115";0.16
"19";"BH-90307";2021-06-04;1155.64181301993;-4.4108363;0.048;"0.136";0.073
"19";"BH-90307";2021-06-04;1115.33537557095;-5.7203498;0.047;"0.094";0.117
"19";"BH-90307";2021-06-04;1075.02930192623;-6.3799566;0.048;"0.101";0.08
"19";"BH-90307";2021-06-04;1034.72363460008;-6.21505489999999;0.047;"0.110";0.042
"19";"BH-90307";2021-06-04;994.418422999091;-5.0219426;0.047;"0.104";0.056
"19";"BH-90307";2021-06-04;954.1137248777;-7.0298633;0.047;"0.100";0.041
"19";"BH-90307";2021-06-04;913.809608178859;-7.0395634;0.046;"0.096";0.1
"19";"BH-90307";2021-06-04;873.506153384165;-6.4284571;0.048;"0.093";0.116
"19";"BH-90307";2021-06-04;833.681593895415;-6.7970609;0.049;"0.144";0.126
"19";"BH-90307";2021-06-04;793.857040026729;-7.485768;0.053;"0.127";0.181
"19";"BH-90307";2021-06-04;754.032492668585;-5.7591502;0.05;"0.111";0.116
"19";"BH-90307";2021-06-04;714.207952910075;-4.7406397;0.046;"0.153";0.078
"19";"BH-90307";2021-06-04;674.383422097548;-5.351746;0.047;"0.113";0.08
"19";"BH-90307";2021-06-04;634.558901915338;-6.6709596;0.05;"0.120";0.06
"19";"BH-90307";2021-06-04;594.734394498922;-6.8455614;0.05;"0.116";0.049
"19";"BH-90307";2021-06-04;554.909902596809;-8.5139786;0.063;"0.135";0.081
"19";"BH-90307";2021-06-04;515.085429807522;-7.194765;0.048;"0.144";0.037
"19";"BH-90307";2021-06-04;475.260980935738;-6.6612595;0.048;"0.129";0.026
"19";"BH-90307";2021-06-04;435.436562543845;-7.1365644;0.048;"0.109";0.022
"19";"BH-90307";2021-06-04;395.612183836646;-7.2141652;0.05;"0.151";0.054
"19";"BH-90307";2021-06-04;355.787858140213;-7.8446717;0.048;"0.120";0.016
"19";"BH-90307";2021-06-04;315.963605499114;-6.612759;0.045;"0.129";0.044
"19";"BH-90307";2021-06-04;276.139457521014;-6.5060579;0.049;"0.103";0.068
"19";"BH-90307";2021-06-04;236.315467119696;-6.6418593;0.044;"0.141";0.06
"19";"BH-90307";2021-06-04;196.491730105875;-7.194765;0.045;"0.112";0.042
"19";"BH-90307";2021-06-04;156.668439706279;-9.813792;0.05;"0.176";0.021
"19";"BH-90307";2021-06-04;116.846052564903;-8.0483738;0.044;"0.107";0.1
"19";"BH-90307";2021-06-04;77.8973683766018;-7.776771;0.044;"0.132";0.145
"19";"BH-90307";2021-06-04;38.9486841883009;-7.91257239999999;0.042;"0.110";0.124
"19";"core";2021-06-04;0;-7.5730689;0.042;"0.132";0.138
