Otolith	ID	Size(x)	Size(y)	comment
A-BH-93152	#A	3055.92	1200	
B-BH-92996	#B	2958.72	1200	
C-BH-93172	#C	4122.67	1200	
D-BH-93015	#D	3487.81	1200	
E-BH-91549	#E	3035.50	1200	
F-BH-91570	#F	2837.53	1200	
H-BH-91585	#H	3219.50	1200	
I-BH-93170	#I	2857.81	1200	
J-BH-91534	#J	2538.50	1200	
K-BH-93007	#K	4170.00	1200	
L-BH-93109	#L	3972.83	1200	
M-BH-92990	#M	3800.08	1200	
01-BH-93143	01	3481.75	1200	
02-BH-93002	02	3595.83	1200	
03-BH-92993	03	3155.33	1200	
05-BH-93005	05	3472.88	1200	
06-BH-93116	06	2409.83	1200	
07-BH-93066	07	2478.17	1200	
08-BH-93178	08	2571.00	1200	
09-BH-51614	09	3965.06	1200	
10-BH-93003	10	3575.58	1200	
N-BH-93071	#N	3554.50	1200	
O-BH-91571	#O	4558.00	1200	
P-BH-93132	#P	4097.50	1200	
Q-BH-93047	#Q	3081.25	1200	
R-BH-93048	#R	3287.83	1200	
S-BH-93097	#S	3038.50	1200	
T-BH-93114	#T	2936.25	1200	
G-BH-91588	#G	3607.00	1200	
