"ID";"ID2";"measurement";"date";"Distance_um";"d18O";"OH";"SE_permil"
"14";"margin";1;2021-06-17;2329.89141377876;-4.0810329;0.035;"0.15"
"14";"BH-01906";2;2021-06-17;2290.08143959991;-5.2935454;0.0377;"0.2"
"14";"BH-01906";3;2021-06-17;2250.27153917033;-5.6233488;0.0362;"0.2"
"14";"BH-01906";4;2021-06-17;2210.46171647464;-5.8755514;0.0339;"0.18"
"35";"margin";1;2021-06-21;2200.4910815543;-3.8385304;0.03;"0.18"
"14";"BH-01906";5;2021-06-17;2170.84246319257;-5.0995434;0.0329;"0.14"
"35";"BH-01846";2;2021-06-21;2160.79545538211;-4.5272375;0.031;"0.17"
"02";"margin";1;2021-06-16;2137.09756445512;-5.5748483;0.0353;"0.12"
"14";"BH-01906";6;2021-06-17;2131.03261354678;-6.9813628;0.0319;"0.13"
"35";"BH-01846";3;2021-06-21;2121.09995049738;-3.5475274;0.031;"0.17"
"02";"BH-01713";2;2021-06-16;2096.64136179748;-5.545748;0.0395;"0.15"
"14";"BH-01906";7;2021-06-17;2091.22284800066;-4.1780339;0.0322;"0.14"
"35";"BH-01846";4;2021-06-21;2081.4045738395;-5.7688503;0.034;"0.21"
"37";"margin";1;2021-06-22;2080.00096153824;-5.1383438;0.035;"0.16"
"02";"BH-01713";3;2021-06-16;2056.18530293357;-4.7891402;0.0356;"0.12"
"21";"margin";1;2021-06-05;2053.90213983043;-6.76796059999999;0.051;"0.012"
"14";"BH-01906";8;2021-06-17;2051.60351920151;-6.0404531;0.0347;"0.15"
"70";"margin";1;2021-06-24;2050.44434208783;-3.7318293;0.03331;"0.17"
"#D";"margin";1;2021-02-12;2049.41845409863;-5.0122425;NA;"0.105"
"38";"margin";1;2021-06-22;2046.5551543997;-4.5078373;0.035;"0.18"
"35";"BH-01846";5;2021-06-21;2041.70933288752;-2.9170209;0.032;"0.17"
"37";"BH-01717";2;2021-06-22;2040.00024509802;-5.0219426;0.032;"0.17"
"36";"margin";1;2021-06-22;2028.71215306657;-3.6542285;0.039;"0.17"
"02";"BH-01713";4;2021-06-16;2015.72939652127;-5.6039486;0.0389;"0.14"
"21";"BH-01868";2;2021-06-05;2013.60596939918;-7.6991702;0.046;"0.014"
"14";"BH-01906";9;2021-06-17;2011.79372700086;-6.1762545;0.0426;"0.16"
"70";"BH-01722";2;2021-06-24;2010.59642892352;-5.3032455;0.0327;"0.15"
"38";"BH-01588";2;2021-06-22;2006.55824734793;-4.8764411;0.033;"0.16"
"05";"margin";1;2021-06-18;2006.08997804186;-5.1771442;0.0364;"0.21"
"35";"BH-01846";6;2021-06-21;2002.01423571362;-5.1092435;0.031;"0.14"
"#D";"BH-01570";2;2021-02-12;2000.02499984375;-2.0731122;NA;"0.095"
"37";"BH-01717";3;2021-06-22;2000;-4.27503489999999;0.035;"0.17"
"18";"margin";1;2021-06-04;1994.18554803709;-6.5836587;0.042;"0.138"
"36";"BH-01850";2;2021-06-22;1988.52533300433;-4.8958413;0.039;"0.17"
"02";"BH-01713";5;2021-06-16;1976.03061717171;-5.9046517;0.0392;"0.17"
"21";"BH-01868";3;2021-06-05;1973.3104165336;-6.5545584;0.043;"0.009"
