ID;ID2;date;Distance_um;d18O;OH;SE_permill;SE_percent
A;margin;10.09.2021;1310.467474;NA;0.1657;;0.02
A;355;10.09.2021;1275.305454;-7.8543718;0.0428;0.19;0.16
A;355;10.09.2021;1240.143943;-9.0668843;0.0504;0.19;0.1
A;355;10.09.2021;1205.215748;-7.1074641;0.0439;0.17;0.14
A;355;10.09.2021;1170.287571;-4.9249416;0.0433;0.18;0.06
A;355;10.09.2021;1135.126425;-5.8658513;0.0461;0.21;0.1
A;355;10.09.2021;1100.198164;-7.8543718;0.0449;0.14;0.11
A;355;10.09.2021;1065.269919;-7.5342685;0.0453;0.18;0.12
A;355;10.09.2021;1030.109218;-8.8049816;0.0469;0.21;0.06
A;355;10.09.2021;995.1808881;-8.7661812;0.0475;0.19;0.08
A;355;10.09.2021;960.2525709;-8.0968743;0.0485;0.2;0.19
A;355;10.09.2021;925.3242675;-8.4169776;0.0441;0.19;0.05
A;355;10.09.2021;890.1640298;-8.9601832;0.0455;0.13;0.15
A;355;10.09.2021;855.23564;-8.7855814;0.0472;0.2;0.1
A;355;10.09.2021;820.3072595;-7.7961712;0.0438;0.18;0.12
A;355;10.09.2021;785.1477568;-6.4478573;0.0412;0.18;0.13
A;355;10.09.2021;750.2193013;-7.5924691;0.0432;0.14;0.1
A;355;10.09.2021;715.2908499;-8.2520759;0.0458;0.19;0.17
A;355;11.09.2021;680.3624034;-8.8534821;0.0481;0.16;0.14
A;355;11.09.2021;645.2038438;-8.9989836;0.0476;0.2;0.09
A;355;11.09.2021;575.3468519;-9.1250849;0.0474;0.22;0.11
A;355;11.09.2021;539.2160977;-9.2123858;0.049;0.16;0.11
A;355;11.09.2021;503.3140173;-9.1250849;0.0507;0.2;0.04
A;355;11.09.2021;467.4120238;-8.9892835;0.0544;0.22;0.52
A;355;11.09.2021;431.2818104;-9.1444851;0.0513;0.14;0.07
A;355;11.09.2021;395.3795645;-8.9213828;0.0527;0.24;0.06
A;355;11.09.2021;359.4773985;-8.9116827;0.0517;0.21;0.05
A;355;11.09.2021;323.575339;-9.2220859;0.0515;0.17;0.04
A;355;11.09.2021;287.445647;-8.9310829;0.0534;0.21;0.11
A;355;11.09.2021;251.5432368;-8.5236787;0.0514;0.15;0.05
A;355;11.09.2021;215.6409052;NA;0.0599;0.32;0.16
A;355;11.09.2021;179.5132307;-10.104795;0.0615;0.23;0.04
A;355;11.09.2021;143.6105846;-9.9010929;0.0583;0.12;0.12
A;355;11.09.2021;107.7079384;-9.6488903;0.0574;0.16;0.07
A;355;11.09.2021;71.80529228;NA;0.0586;0.19;0.21
A;355;11.09.2021;35.6931366;-9.328787;0.0541;0.2;0.23
A;core;11.09.2021;0;-8.7661812;0.0517;0.2;0.11
B;margin;11.09.2021;2696.780488;NA;0.0373;0.24;0.14
B;356;11.09.2021;2660.941563;-7.9222725;0.0395;0.15;0.11
B;356;11.09.2021;2625.102855;-7.8446717;0.038;0.19;0.07
B;356;11.09.2021;2589.747671;-6.5254581;0.0394;0.17;0.22
B;356;11.09.2021;2553.90916;-6.2053548;0.038;0.22;0.05
B;356;11.09.2021;2518.55395;-8.0192735;0.0367;0.22;0.08
B;356;11.09.2021;2482.71565;-8.64978;0.0382;0.15;0.06
B;356;11.09.2021;2447.360415;-7.4081672;0.0369;0.17;0.03
B;356;11.09.2021;2412.005182;-5.0316427;0.037;0.24;0.18
B;356;11.09.2021;2376.167082;-6.6321592;0.0359;0.19;0.1
B;356;11.09.2021;2340.811825;-7.097764;0.0373;0.16;0.07
B;356;11.09.2021;2305.456571;-7.8931722;0.0396;0.22;0.08
B;356;11.09.2021;2269.61869;-7.7476707;0.0394;0.18;0.08
B;356;11.09.2021;2234.263413;-6.7582605;0.0387;0.16;0.05
B;356;11.09.2021;2198.4258;-5.4196467;0.0383;0.22;0.09
B;356;11.09.2021;2163.070503;-6.1762545;0.0356;0.18;0.11
B;356;11.09.2021;2127.715207;-7.1268643;0.034;0.15;0.23
B;356;11.09.2021;2091.877865;-7.6215694;0.0372;0.19;0.07
B;356;11.09.2021;2056.52255;-7.8640719;0.0379;0.15;0.05
B;356;11.09.2021;2020.685527;-7.6312695;0.0383;0.14;0.06
B;356;11.09.2021;1985.330199;-5.3711462;0.0367;0.16;0.07
B;356;11.09.2021;1949.974872;-5.7203498;0.0379;0.17;0.21
B;356;11.09.2021;1914.138187;-6.9910629;0.0365;0.16;0.11
B;356;11.09.2021;1878.782851;-6.6321592;0.0347;0.17;0.22
B;356;11.09.2021;1842.946554;-7.3790669;0.0366;0.15;0.11
B;356;11.09.2021;1807.591215;-7.3790669;0.0384;0.2;0.07
B;356;11.09.2021;1772.235876;-7.5439686;0.0378;0.13;0.17
B;356;11.09.2021;1736.400012;-7.3208663;0.0383;0.18;0.06
B;356;11.09.2021;1701.044679;-6.8358613;0.0373;0.17;0.14
B;356;11.09.2021;1665.209296;-6.7679606;0.0376;0.17;0.12
B;356;11.09.2021;1629.853981;-7.0686637;0.0389;0.16;0.04
B;356;11.09.2021;1594.498667;-7.4081672;0.0397;0.24;0.1
B;356;11.09.2021;1558.663851;-7.4081672;0.0397;0.2;0.17
B;356;11.09.2021;1523.30857;-7.4469676;0.0407;0.18;0.05
B;356;11.09.2021;1487.47437;-8.358777;0.0369;0.17;0.08
B;356;11.09.2021;1452.119141;-8.7273808;0.0363;0.2;0.09
B;356;11.09.2021;1416.763918;-8.8049816;0.0374;0.2;0.1
B;356;11.09.2021;1380.930483;-8.1259746;0.0391;0.17;0.09
B;356;11.09.2021;1345.575342;-8.164775;0.0409;0.21;0.1
B;356;11.09.2021;1309.742723;-7.6894701;0.0399;0.19;0.12
B;356;11.09.2021;1274.387696;-8.3199766;0.0389;0.16;0.06
B;356;11.09.2021;1238.153868;-8.9310829;0.0425;0.19;0.15
B;356;11.09.2021;1201.442883;-7.6312695;0.0437;0.2;0.06
B;356;11.09.2021;1165.208994;-6.1083538;0.0425;0.19;0.05
B;356;11.09.2021;1128.498117;-7.0783638;0.0452;0.16;0.07
B;356;11.09.2021;1092.264162;-7.2626657;0.0448;0.18;0.07
