Analysis;Analysis;Type;Oto number;Date;;;time after start (h);;east - west (µm);north - south (µm);primary current (nA);16 O ions per sec;18O/16O measured;1 SE (‰);;;DT-FA-x (bits);DT-FA-y (bits);entrance slit (bits);;;18O/16O IMF Corrected;d18O SMOW;
A-18O-Pt01;PSO-#A@01;Pt;BH-00729;13.02.2021;;;19.83;;-2655;6586;0.81;1.93E+09;0.0020504;0.083;;;-34;-40;13;;;0.00205811;26.39;
A-18O-Pt02;PSO-#A@02;Pt;BH-00729;13.02.2021;;;19.9;;-2638;6662;0.81;1.91E+09;0.00205227;0.075;;;-36;-42;13;;;0.00205998;27.32;
A-18O-Pt03;PSO-#A@03;Pt;BH-00729;13.02.2021;;;19.97;;-2427;6487;0.8;1.92E+09;0.00205046;0.115;;;-29;-36;10;;;0.00205817;26.42;
A-18O-Pt04;PSO-#A@04;Pt;BH-00729;13.02.2021;;;20.03;;-2399;6571;0.8;1.93E+09;0.00204964;0.117;;;-30;-38;9;;;0.00205734;26;
A-18O-Pt05;PSO-#A@05;Pt;BH-00729;13.02.2021;;;20.08;;-2203;6419;0.8;1.93E+09;0.00204901;0.091;;;-25;-33;9;;;0.00205672;25.69;
A-18O-Pt06;PSO-#A@06;Pt;BH-00729;13.02.2021;;;20.15;;-2186;6487;0.8;1.92E+09;0.00204896;0.109;;;-27;-34;9;;;0.00205667;25.67;
A-18O-Pt07;PSO-#A@07;Pt;BH-00729;13.02.2021;;;20.22;;-1824;6444;0.76;1.94E+09;0.00204634;0.078;;;-21;-30;11;;;0.00205403;24.35;
A-18O-Pt08;PSO-#A@08;Pt;BH-00729;13.02.2021;;;20.28;;-1800;6500;0.82;1.94E+09;0.00204877;0.088;;;-22;-31;11;;;0.00205647;25.57;
A-18O-trans002;PSO-#A@02;tr;BH-00729;13.02.2021;;;17.32;;-2304;7024;0.86;2.03E+09;0.00204948;0.095;;;-34;-48;11;;;0.00205718;25.92;
A-18O-trans003;PSO-#A@03;tr;BH-00729;13.02.2021;;;17.52;;-2266;6996;0.86;1.99E+09;0.00205214;0.089;;;-33;-47;11;;;0.00205985;27.26;
A-18O-trans004;PSO-#A@04;tr;BH-00729;13.02.2021;;;17.58;;-2228;6968;0.85;1.98E+09;0.00205008;0.085;;;-31;-45;11;;;0.00205778;26.22;
A-18O-trans005;PSO-#A@05;tr;BH-00729;13.02.2021;;;17.63;;-2189;6940;0.85;2.01E+09;0.0020463;0.11;;;-30;-44;10;;;0.002054;24.34;
A-18O-trans006;PSO-#A@06;tr;BH-00729;13.02.2021;;;17.7;;-2150;6912;0.86;1.98E+09;0.00204928;0.115;;;-29;-44;11;;;0.00205698;25.82;
A-18O-trans007;PSO-#A@07;tr;BH-00729;13.02.2021;;;17.77;;-2111;6884;0.86;2.00E+09;0.00204807;0.064;;;-28;-43;10;;;0.00205577;25.22;
A-18O-trans008;PSO-#A@08;tr;BH-00729;13.02.2021;;;17.83;;-2072;6856;0.85;2.01E+09;0.00204869;0.116;;;-27;-41;9;;;0.0020564;25.53;
A-18O-trans009;PSO-#A@09;tr;BH-00729;13.02.2021;;;17.9;;-2033;6828;0.86;2.01E+09;0.00204959;0.099;;;-27;-40;9;;;0.00205729;25.98;
A-18O-trans01;PSO-#A@01;tr;margin;13.02.2021;;;17.25;;-2342;7053;0.86;1.99E+09;0.00204865;0.081;;;-35;-49;14;;;0.00205636;25.51;
A-18O-trans010;PSO-#A@10;tr;BH-00729;13.02.2021;;;17.97;;-1994;6800;0.85;2.01E+09;0.00204858;0.115;;;-26;-41;8;;;0.00205628;25.47;
A-18O-trans011;PSO-#A@11;tr;BH-00729;13.02.2021;;;18.03;;-1955;6772;0.87;2.04E+09;0.00204736;0.075;;;-25;-39;8;;;0.00205506;24.86;
A-18O-trans012;PSO-#A@12;tr;BH-00729;13.02.2021;;;18.08;;-1916;6744;0.87;2.01E+09;0.00205099;0.075;;;-24;-38;8;;;0.0020587;26.68;
A-18O-trans013;PSO-#A@13;tr;BH-00729;13.02.2021;;;18.15;;-1877;6716;0.86;1.99E+09;0.00204855;0.092;;;-23;-37;8;;;0.00205626;25.46;
