"simsID"	"fishID"	"quality"	"age"	"cohort"	"core"	"year"	"yearclass"	"increment_um"	"rad_um"
"#A"	"BH-00729"	3	4	2015	219.3	0	0	0	0
"#A"	"BH-00729"	3	4	2015	219.3	1	1	362.5	362.5
"#A"	"BH-00729"	3	4	2015	219.3	2	2	435.1	827.6
"#A"	"BH-00729"	3	4	2015	219.3	3	3	154.9	967.5
"#A"	"BH-00729"	3	4	2015	219.3	4	4	300.6	1268.1
"#A"	"BH-00729"	3	4	2015	219.3	5	5	111.9	1395
"#B"	"BH-00670"	3	5	2013	204	0	0	0	0
"#B"	"BH-00670"	3	5	2013	204	1	1	311.7	311.7
"#B"	"BH-00670"	3	5	2013	204	2	2	174.8	486.5
"#B"	"BH-00670"	3	5	2013	204	3	3	148.1	649.6
"#B"	"BH-00670"	3	5	2013	204	4	4	223.1	902.7
"#B"	"BH-00670"	3	5	2013	204	5	5	182	1099.7
"#B"	"BH-00670"	3	5	2013	204	6	6	49.9	1149.6
"#D"	"BH-01570"	3	9	2011	150.4	0	0	0	0
"#D"	"BH-01570"	3	9	2011	150.4	1	1	357.2	357.2
"#D"	"BH-01570"	3	9	2011	150.4	2	2	249.6	636.8
"#D"	"BH-01570"	3	9	2011	150.4	3	3	254.1	880.9
"#D"	"BH-01570"	3	9	2011	150.4	4	4	183	1063.9
"#D"	"BH-01570"	3	9	2011	150.4	5	5	119.4	1183.3
"#D"	"BH-01570"	3	9	2011	150.4	6	6	81.2	1284.5
"#D"	"BH-01570"	3	9	2011	150.4	7	7	73.4	1392.9
"#D"	"BH-01570"	3	9	2011	150.4	8	8	189.7	1617.6
"#D"	"BH-01570"	3	9	2011	150.4	9	9	108.4	1726
"#D"	"BH-01570"	3	9	2011	150.4	10	10	352.1	2078.1
"#F"	"BH-01741"	3	6	2014	357.8	0	0	0	0
"#F"	"BH-01741"	3	6	2014	357.8	1	1	493.2	493.2
"#F"	"BH-01741"	3	6	2014	357.8	2	2	194.6	672.8
"#F"	"BH-01741"	3	6	2014	357.8	3	3	192.7	865.5
"#F"	"BH-01741"	3	6	2014	357.8	4	4	82.6	1008.1
"#F"	"BH-01741"	3	6	2014	357.8	5	5	67.3	1110.4
"#F"	"BH-01741"	3	6	2014	357.8	6	6	99.4	1239.8
"#F"	"BH-01741"	3	6	2014	357.8	7	7	82.6	1407.4
"#H"	"BH-01555"	3	4	2016	196.5	0	0	0	0
"#H"	"BH-01555"	3	4	2016	196.5	1	1	314.8	314.8
"#H"	"BH-01555"	3	4	2016	196.5	2	2	518.6	858.4
"#H"	"BH-01555"	3	4	2016	196.5	3	3	198.5	1066.9
"#H"	"BH-01555"	3	4	2016	196.5	4	4	113.1	1210
"#H"	"BH-01555"	3	4	2016	196.5	5	5	58	1333
"#I"	"BH-00730"	3	8	2011	318.5	0	0	0	0
"#I"	"BH-00730"	3	8	2011	318.5	1	1	354	354
"#I"	"BH-00730"	3	8	2011	318.5	2	2	492.1	906.1
"#I"	"BH-00730"	3	8	2011	318.5	3	3	154.4	1050.5
"#I"	"BH-00730"	3	8	2011	318.5	4	4	167	1202.5
"#I"	"BH-00730"	3	8	2011	318.5	5	5	138.1	1340.6
"#I"	"BH-00730"	3	8	2011	318.5	6	6	149.6	1500.2
"#I"	"BH-00730"	3	8	2011	318.5	7	7	90	1590.2
"#I"	"BH-00730"	3	8	2011	318.5	8	8	88.6	1678.8
"#I"	"BH-00730"	3	8	2011	318.5	9	9	84.5	1763.3
"#J"	"BH-00385"	3	5	2014	228.6	0	0	0	0
"#J"	"BH-00385"	3	5	2014	228.6	1	1	324.9	324.9
"#J"	"BH-00385"	3	5	2014	228.6	2	2	220.7	575.6
"#J"	"BH-00385"	3	5	2014	228.6	3	3	171.8	747.4
"#J"	"BH-00385"	3	5	2014	228.6	4	4	163.6	941
"#J"	"BH-00385"	3	5	2014	228.6	5	5	193.1	1149.1
"#J"	"BH-00385"	3	5	2014	228.6	6	6	36.3	1185.4
