c.1.69.	SIMS_pike
1	BH-01809
2	BH-01737
3	BH-90307
4	BH-01802
5	BH-01868
6	BH-01860
7	BH-01738
8	BH-00670
9	BH-01867
10	BH-01789
11	BH-01819
12	BH-01835
13	BH-00696
14	BH-01582
15	BH-001560
16	BH-01701
17	BH-01846
18	BH-01850
19	BH-01717
20	BH-01588
21	BH-01556
22	BH-01576
23	BH-000689
24	BH-01594
25	BH-01598
26	BH-000685
27	BH-01595
28	BH-01596
29	BH-00681
30	BH-01585
31	BH-01567
32	BH-01580
33	BH-01571
34	BH-01569
35	BH-01898
36	BH-01891
37	BH-01908
38	BH-01722
39	BH-01904
40	BH-01903
41	BH-01902
42	BH-00742
43	BH-01897
44	BH-00750
45	BH-01892
46	BH-01893
47	BH-01882
48	BH-01899
49	BH-01885
50	BH-01900
51	BH-01889
52	BH-01883
53	BH-01758
54	BH-01713
55	BH-01719
56	BH-00732
57	BH-01731
58	BH-01855
59	BH-01869
60	BH-01906
61	BH-01803
62	BH-01812
63	BH-01814
64	BH-00729
65	BH-01570
66	BH-00385
67	BH-01741
68	BH-01555
69	BH-00730
