"ID";"ID2";"date";"Distance_um";"d18O";"OH";"SE_permill";"SE_percent"
"#A";"margin";2021-02-13;1335.8001347507;-5.2450449;NA;"0.081";NA
"#A";"BH-00729";2021-02-13;1288.0003881987;-4.84734079999999;NA;"0.095";NA
"#A";"BH-00729";2021-02-13;1240.80014506769;-3.5475274;NA;"0.089";NA
"#A";"BH-00729";2021-02-13;1193.60001675603;-4.5563378;NA;"0.085";NA
"#A";"BH-00729";2021-02-13;1145.60027932957;-6.3799566;NA;"0.11";NA
"#A";"BH-00729";2021-02-13;1097.60147594653;-4.9443418;NA;"0.115";NA
"#A";"BH-00729";2021-02-13;1049.60373474945;-5.5263478;NA;"0.064";NA
"#A";"BH-00729";2021-02-13;1001.60720844051;-5.2256447;NA;"0.116";NA
"#A";"BH-00729";2021-02-13;953.612080460393;-4.7891402;NA;"0.099";NA
"#A";"BH-00729";2021-02-13;905.618573131095;-5.2838453;NA;"0.115";NA
"#A";"BH-00729";2021-02-13;857.626958531505;-5.8755514;NA;"0.075";NA
"#A";"BH-00729";2021-02-13;809.637573238792;-4.1101332;NA;"0.075";NA
"#A";"BH-00729";2021-02-13;761.650838639334;-5.2935454;NA;"0.092";NA
"#A";"BH-00729";2021-02-13;726.837671010522;-5.3032455;NA;"0.096";NA
"#A";"BH-00729";2021-02-13;692.026011071838;-5.2256447;NA;"0.124";NA
"#A";"BH-00729";2021-02-13;658.429191333434;-5.5166477;NA;"0.117";NA
"#A";"BH-00729";2021-02-13;623.618473106755;-4.8861412;NA;"0.096";NA
"#A";"BH-00729";2021-02-13;590.021186060297;-5.6718493;NA;"0.126";NA
"#A";"BH-00729";2021-02-13;555.211671347064;-4.9734421;NA;"0.115";NA
"#A";"BH-00729";2021-02-13;521.613841840878;-6.3508563;NA;"0.096";NA
"#A";"BH-00729";2021-02-13;486.805916151396;-6.2053548;NA;"0.11";NA
"#A";"BH-00729";2021-02-13;453.207458014539;-5.3420459;NA;"0.124";NA
"#A";"BH-00729";2021-02-13;418.401720837761;-6.1859546;NA;"0.094";NA
"#A";"BH-00729";2021-02-13;384.802546769119;-6.2053548;NA;"0.124";NA
"#A";"BH-00729";2021-02-13;350;-4.284735;NA;"0.132";NA
"#A";"BH-00729";2021-02-13;315.60101394007;-5.3226457;NA;"0.105";NA
"#A";"BH-00729";2021-02-13;280;-5.9240519;NA;"0.096";NA
"#A";"BH-00729";2021-02-13;245.60130292814;-6.8455614;NA;"0.088";NA
"#A";"BH-00729";2021-02-13;210;-6.0986537;NA;"0.091";NA
