Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
A-S88@01	0.28	2295	7490	2.61	2.23E+09	0.00204958	0.105	0.0273	7	-15	-29	0.00205335	24.01											
A-S88@02	0.37	2260	7485	2.61	2.23E+09	0.00205150	0.167	0.0265	7	-15	-30	0.00205528	24.98											
A-S88@03	0.43	2225	7480	2.61	2.24E+09	0.00205329	0.179	0.0258	6	-15	-30	0.00205707	25.87											
A-S88@04	0.50	2190	7476	2.61	2.25E+09	0.00205171	0.153	0.0252	6	-15	-31	0.00205548	25.08											
A-S88@05	0.57	2156	7472	2.61	2.25E+09	0.00205129	0.170	0.0239	6	-14	-29	0.00205507	24.87											
A-S88@06	0.65	2121	7468	2.61	2.24E+09	0.00205022	0.137	0.0236	6	-13	-29	0.00205399	24.33											
A-S88@07	0.72	2087	7464	2.60	2.25E+09	0.00205033	0.154	0.0244	6	-13	-28	0.00205410	24.39											
A-S88@08	0.78	2052	7459	2.60	2.22E+09	0.00205039	0.183	0.0237	6	-12	-24	0.00205416	24.42											
A-S88@09	0.85	2018	7455	2.60	2.22E+09	0.00204883	0.135	0.0248	6	-13	-28	0.00205261	23.64											
A-S88@10	0.93	1983	7451	2.60	2.23E+09	0.00204928	0.151	0.0259	5	-13	-26	0.00205306	23.87											
A-S88@11	1.00	1949	7447	2.60	2.22E+09	0.00204849	0.159	0.0281	6	-11	-27	0.00205226	23.47											
A-S88@12	1.07	1914	7443	2.60	2.24E+09	0.00204703	0.158	0.0285	6	-12	-27	0.00205080	22.74											
A-S88@13	1.13	1880	7439	2.60	2.22E+09	0.00204874	0.152	0.0252	6	-12	-26	0.00205251	23.60											
A-S88@14	1.22	1845	7434	2.60	2.20E+09	0.00205075	0.131	0.0291	5	-11	-25	0.00205453	24.60											
A-S88@15	1.28	1811	7430	2.59	2.17E+09	0.00205211	0.157	0.0332	7	-11	-24	0.00205589	25.28											
A-S88@16	1.35	1776	7426	2.59	2.21E+09	0.00205458	0.175	0.0290	5	-12	-24	0.00205836	26.51											
A-S88@17	1.42	1742	7422	2.59	2.21E+09	0.00205257	0.180	0.0307	7	-11	-27	0.00205635	25.51											
A-S88@18	1.48	1707	7418	2.59	2.21E+09	0.00205227	0.167	0.0303	5	-11	-25	0.00205605	25.36											
A-S88@19	1.57	1673	7414	2.59	2.21E+09	0.00205154	0.145	0.0308	3	-11	-26	0.00205531	24.99											
A-S88@20	1.63	1638	7409	2.59	2.22E+09	0.00205112	0.162	0.0312	4	-11	-25	0.00205489	24.78											
A-S88@21	1.85	1604	7405	2.52	2.18E+09	0.00205046	0.131	0.0308	5	-10	-25	0.00205423	24.45											
A-S88@22	1.92	1569	7401	2.52	2.16E+09	0.00205018	0.158	0.0311	5	-10	-25	0.00205396	24.31											
