Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#N-S88@01	3.97	3046	-4630	2.33	2.15E+09	0.00203771	0.18	0.0274	-19	12	28	0.00204727	20.98	
#N-S88@02	4.03	3071	-4655	2.32	2.15E+09	0.00203651	0.15	0.0310	-20	14	28	0.00204607	20.38	
#N-S88@03	4.12	3096	-4680	2.31	2.17E+09	0.00203655	0.16	0.0312	-19	15	24	0.00204610	20.40	
#N-S88@04	4.18	3121	-4705	2.31	2.12E+09	0.00203794	0.17	0.0303	-18	16	24	0.00204751	21.10	
#N-S88@05	4.25	3146	-4730	2.32	2.11E+09	0.00203848	0.18	0.0283	-19	14	29	0.00204805	21.37	
#N-S88@06	4.32	3171	-4755	2.32	1.89E+09	0.00202160	0.29	0.1010	-20	16	29	0.00203108		low count rate, discard
#N-S88@07	4.40	3197	-4780	2.31	2.05E+09	0.00203597	0.19	0.0308	-17	18	28	0.00204553	20.11	
#N-S88@08	4.47	3222	-4805	2.32	2.12E+09	0.00203605	0.16	0.0327	-17	16	24	0.00204560	20.15	
#N-S88@09	4.53	3247	-4830	2.32	2.09E+09	0.00203926	0.16	0.0326	-17	16	26	0.00204883	21.76	
#N-S88@10	4.60	3272	-4855	2.32	2.10E+09	0.00203990	0.21	0.0323	-18	18	27	0.00204947	22.08	
#N-S88@11	4.68	3297	-4880	2.32	2.12E+09	0.00203932	0.16	0.0347	-17	19	23	0.00204889	21.79	
#N-S88@12	4.75	3323	-4905	2.31	2.11E+09	0.00203933	0.16	0.0321	-17	18	23	0.00204891	21.80	
#N-S88@13	4.82	3348	-4930	2.31	2.11E+09	0.00204362	0.18	0.0299	-17	20	25	0.00205322	23.95	
#N-S88@14	4.88	3373	-4955	2.30	2.12E+09	0.00204001	0.16	0.0307	-17	21	25	0.00204958	22.13	
#N-S88@15	4.97	3398	-4980	2.31	2.12E+09	0.00203890	0.17	0.0314	-16	20	23	0.00204847	21.58	
#N-S88@16	6.50	3424	-5005	2.22	2.08E+09	0.00204066	0.20	0.0296	-15	22	28	0.00205024	22.46	
#N-S88@17	6.58	3449	-5030	2.23	2.06E+09	0.00203813	0.24	0.0294	-14	21	31	0.00204770	21.19	
#N-S88@18	6.65	3474	-5055	2.25	2.05E+09	0.00203948	0.22	0.0289	-14	20	29	0.00204905	21.87	
#N-S88@19	6.72	3499	-5080	2.25	2.06E+09	0.00204070	0.14	0.0293	-15	22	27	0.00205028	22.48	
#N-S88@20	6.78	3524	-5105	2.24	2.08E+09	0.00203989	0.17	0.0305	-13	23	26	0.00204947	22.08	
#N-S88@21	7.00	3550	-5130	2.23	2.05E+09	0.00204358	0.16	0.0284	-15	21	27	0.00205317	23.92	
#N-S88@22	7.08	3575	-5155	2.22	2.06E+09	0.00204264	0.22	0.0284	-15	22	27	0.00205223	23.46	
#N-S88@23	7.15	3600	-5180	2.23	2.08E+09	0.00203970	0.16	0.0283	-14	24	25	0.00204927	21.98	
#N-S88@24	7.22	3625	-5205	2.24	2.07E+09	0.00204013	0.18	0.0275	-14	24	26	0.00204971	22.20	
#N-S88@25	7.28	3651	-5230	2.25	2.04E+09	0.00204090	0.20	0.0273	-14	25	28	0.00205048	22.58	
#N-S88@26	7.37	3676	-5255	2.24	2.05E+09	0.00204136	0.21	0.0273	-14	26	27	0.00205094	22.81	
#N-S88@27	7.43	3701	-5280	2.25	2.08E+09	0.00203967	0.18	0.0269	-14	26	27	0.00204924	21.96	
#N-S88@28	7.50	3726	-5305	2.26	2.06E+09	0.00204035	0.18	0.0275	-13	26	25	0.00204993	22.31	
#N-S88@29	7.57	3751	-5330	2.25	2.05E+09	0.00204301	0.20	0.0264	-12	26	27	0.00205260	23.64	
#N-S88@30	7.65	3777	-5355	2.23	2.06E+09	0.00204242	0.18	0.0284	-12	27	28	0.00205201	23.34	
#N-S88@31	7.72	3802	-5380	2.24	2.04E+09	0.00204041	0.18	0.0270	-13	27	27	0.00204999	22.34	
#N-S88@32	7.78	3827	-5405	2.21	2.04E+09	0.00204083	0.23	0.0274	-11	28	25	0.00205041	22.54	
#N-S88@33	7.85	3852	-5430	2.21	2.05E+09	0.00204532	0.17	0.0287	-12	29	28	0.00205492	24.79	
