Mount	SIMS_ID	Fish_ID	Distance_um	Na/Ca	Mg/Ca	Mn/Ca	Sr/Ca	Ba/Ca	comment	
035	A	BH-93152	1534.5	6.86E-03	4.46E-05	7.33E-06	2.66E-03	8.64E-06		
035	A	BH-93152	1529.0	7.25E-03	3.67E-05	5.49E-06	2.83E-03	6.14E-06		
035	A	BH-93152	1523.5	7.57E-03	3.41E-05	5.13E-06	3.08E-03	4.96E-06		
035	A	BH-93152	1518.0	8.08E-03	4.68E-05	4.02E-07	3.34E-03	4.95E-06		
035	A	BH-93152	1512.5	7.44E-03	3.55E-05	1.00E-07	3.31E-03	4.31E-06		
035	A	BH-93152	1507.0	7.11E-03	3.08E-05	9.91E-08	3.28E-03	3.17E-06		
035	A	BH-93152	1501.5	7.80E-03	4.45E-05	-4.72E-07	3.68E-03	3.44E-06		
035	A	BH-93152	1496.0	8.38E-03	4.59E-05	7.76E-07	3.93E-03	2.70E-06		
035	A	BH-93152	1490.5	1.04E-02	5.79E-05	-1.51E-06	4.40E-03	2.99E-06		
035	A	BH-93152	1485.0	1.04E-02	5.79E-05	-1.55E-06	4.42E-03	2.49E-06		
035	A	BH-93152	1479.5	8.53E-03	3.89E-05	-3.87E-07	3.65E-03	2.71E-06		
035	A	BH-93152	1474.0	7.01E-03	3.32E-05	-3.48E-07	3.30E-03	2.03E-06		
035	A	BH-93152	1468.5	6.80E-03	2.75E-05	8.56E-07	3.30E-03	1.37E-06		
035	A	BH-93152	1463.0	7.33E-03	3.28E-05	2.40E-06	3.59E-03	1.92E-06		
035	A	BH-93152	1457.5	6.93E-03	4.03E-05	2.89E-06	3.65E-03	1.52E-06		
035	A	BH-93152	1452.0	7.21E-03	5.69E-05	4.17E-06	3.60E-03	1.92E-06		
035	A	BH-93152	1446.5	6.80E-03	5.94E-05	3.76E-06	3.39E-03	2.13E-06		
035	A	BH-93152	1441.0	6.46E-03	6.00E-05	1.51E-06	3.28E-03	1.92E-06		
035	A	BH-93152	1435.5	6.47E-03	4.34E-05	1.75E-06	2.93E-03	1.97E-06		
035	A	BH-93152	1430.0	6.58E-03	4.59E-05	3.48E-11	3.20E-03	3.30E-06		
035	A	BH-93152	1424.5	6.49E-03	4.23E-05	-3.00E-07	3.27E-03	2.04E-06		
035	A	BH-93152	1419.0	6.63E-03	4.32E-05	5.35E-07	3.39E-03	1.99E-06		
035	A	BH-93152	1413.5	6.96E-03	4.53E-05	-7.10E-07	3.56E-03	1.85E-06		
035	A	BH-93152	1408.0	6.88E-03	4.53E-05	-6.73E-07	3.55E-03	1.85E-06		
035	A	BH-93152	1402.5	7.15E-03	5.41E-05	-7.13E-07	3.72E-03	2.48E-06		
035	A	BH-93152	1397.0	8.38E-03	6.66E-05	-7.80E-07	3.59E-03	2.71E-06		
035	A	BH-93152	1391.5	7.45E-03	6.76E-05	1.15E-06	2.74E-03	4.00E-06		
035	A	BH-93152	1386.0	8.09E-03	7.04E-05	2.79E-06	2.79E-03	3.50E-06		
035	A	BH-93152	1380.5	8.48E-03	8.09E-05	4.36E-06	2.90E-03	2.93E-06		
035	A	BH-93152	1375.0	7.25E-03	9.04E-05	9.95E-06	3.49E-03	2.77E-06		
035	A	BH-93152	1369.5	6.87E-03	8.96E-05	1.63E-05	3.26E-03	2.37E-06		
035	A	BH-93152	1364.0	6.80E-03	8.88E-05	1.70E-05	3.26E-03	1.74E-06		
035	A	BH-93152	1358.5	7.90E-03	8.92E-05	1.70E-05	2.88E-03	2.38E-06		
035	A	BH-93152	1353.0	7.85E-03	9.73E-05	1.18E-05	3.14E-03	2.19E-06		
035	A	BH-93152	1347.5	8.61E-03	1.02E-04	7.79E-06	3.27E-03	2.88E-06		
035	A	BH-93152	1342.0	7.78E-03	9.41E-05	7.04E-06	3.16E-03	4.07E-06		
035	A	BH-93152	1336.5	7.27E-03	1.01E-04	1.09E-05	3.49E-03	4.38E-06		
035	A	BH-93152	1331.0	7.16E-03	7.47E-05	1.69E-05	3.50E-03	4.52E-06		
035	A	BH-93152	1325.5	7.87E-03	8.01E-05	2.24E-05	3.55E-03	3.69E-06		
035	A	BH-93152	1320.0	7.70E-03	8.01E-05	2.42E-05	3.65E-03	3.41E-06		
035	A	BH-93152	1314.5	7.50E-03	8.93E-05	2.80E-05	3.88E-03	2.55E-06		
035	A	BH-93152	1309.0	7.42E-03	1.09E-04	3.20E-05	3.92E-03	2.55E-06		
035	A	BH-93152	1303.5	7.19E-03	1.14E-04	3.17E-05	3.85E-03	3.19E-06		
035	A	BH-93152	1298.0	7.25E-03	9.25E-05	3.16E-05	3.37E-03	2.71E-06		
035	A	BH-93152	1292.5	7.25E-03	1.04E-04	3.27E-05	3.18E-03	2.71E-06		
035	A	BH-93152	1287.0	7.01E-03	1.01E-04	3.81E-05	2.92E-03	2.45E-06		
035	A	BH-93152	1281.5	6.95E-03	1.00E-04	4.09E-05	2.93E-03	1.77E-06		
035	A	BH-93152	1276.0	6.97E-03	1.04E-04	4.34E-05	2.93E-03	1.77E-06		
035	A	BH-93152	1270.5	7.12E-03	1.04E-04	4.07E-05	2.90E-03	2.69E-06		
035	A	BH-93152	1265.0	6.99E-03	1.03E-04	3.68E-05	2.92E-03	2.56E-06		
035	A	BH-93152	1259.5	7.39E-03	1.07E-04	3.91E-05	3.12E-03	2.86E-06		
035	A	BH-93152	1254.0	7.80E-03	1.18E-04	4.48E-05	3.68E-03	3.23E-06		
035	A	BH-93152	1248.5	7.08E-03	9.90E-05	3.80E-05	3.48E-03	3.61E-06		
035	A	BH-93152	1243.0	8.10E-03	1.13E-04	3.20E-05	3.74E-03	3.60E-06		
035	A	BH-93152	1237.5	8.96E-03	9.98E-05	3.00E-05	3.51E-03	4.39E-06		
035	A	BH-93152	1232.0	7.73E-03	1.04E-04	3.85E-05	3.82E-03	4.34E-06		
035	A	BH-93152	1226.5	7.67E-03	1.23E-04	4.44E-05	4.25E-03	4.27E-06		
035	A	BH-93152	1221.0	8.48E-03	1.26E-04	4.43E-05	4.24E-03	4.27E-06		
035	A	BH-93152	1215.5	8.48E-03	1.26E-04	4.11E-05	3.99E-03	3.48E-06		
035	A	BH-93152	1210.0	8.74E-03	1.15E-04	4.31E-05	3.80E-03	3.39E-06		
035	A	BH-93152	1204.5	8.74E-03	1.15E-04	4.04E-05	3.80E-03	2.90E-06		
035	A	BH-93152	1199.0	8.71E-03	9.54E-05	4.51E-05	4.05E-03	3.42E-06		
035	A	BH-93152	1193.5	8.46E-03	1.44E-04	4.50E-05	4.12E-03	3.94E-06		
035	A	BH-93152	1188.0	7.75E-03	1.94E-04	4.27E-05	4.08E-03	3.85E-06		
035	A	BH-93152	1182.5	7.57E-03	1.50E-04	4.58E-05	4.38E-03	4.29E-06		
035	A	BH-93152	1177.0	8.44E-03	1.46E-04	3.86E-05	4.46E-03	5.60E-06		
035	A	BH-93152	1171.5	8.60E-03	1.45E-04	4.52E-05	4.50E-03	5.69E-06		
035	A	BH-93152	1166.0	8.37E-03	1.42E-04	3.50E-05	4.38E-03	5.54E-06		
035	A	BH-93152	1160.5	8.81E-03	1.45E-04	3.59E-05	4.48E-03	5.06E-06		
035	A	BH-93152	1155.0	8.70E-03	1.45E-04	3.42E-05	4.03E-03	4.57E-06		
035	A	BH-93152	1149.5	8.59E-03	1.34E-04	3.03E-05	3.70E-03	3.73E-06		
035	A	BH-93152	1144.0	8.79E-03	1.30E-04	3.14E-05	3.83E-03	3.76E-06		
035	A	BH-93152	1138.5	8.00E-03	1.28E-04	2.68E-05	3.78E-03	4.23E-06		
035	A	BH-93152	1133.0	7.30E-03	1.28E-04	2.55E-05	3.78E-03	3.02E-06		
035	A	BH-93152	1127.5	7.74E-03	1.40E-04	2.30E-05	4.01E-03	3.78E-06		
035	A	BH-93152	1122.0	8.76E-03	1.66E-04	1.68E-05	4.54E-03	2.60E-06		
035	A	BH-93152	1116.5	9.09E-03	1.55E-04	1.64E-05	4.66E-03	1.94E-06		
035	A	BH-93152	1111.0	8.97E-03	1.39E-04	1.83E-05	4.76E-03	2.31E-06		
035	A	BH-93152	1105.5	7.68E-03	1.07E-04	1.87E-05	4.40E-03	2.67E-06		
035	A	BH-93152	1100.0	7.08E-03	1.04E-04	2.39E-05	4.26E-03	4.32E-06		
035	A	BH-93152	1094.5	7.59E-03	1.16E-04	2.54E-05	3.89E-03	4.52E-06		
035	A	BH-93152	1089.0	8.28E-03	1.27E-04	2.97E-05	3.90E-03	4.96E-06		
035	A	BH-93152	1083.5	8.33E-03	1.30E-04	2.99E-05	3.47E-03	3.52E-06		
035	A	BH-93152	1078.0	9.01E-03	9.52E-05	3.49E-05	3.64E-03	1.75E-06		
035	A	BH-93152	1072.5	8.81E-03	8.60E-05	3.98E-05	3.66E-03	1.63E-06		
035	A	BH-93152	1067.0	8.72E-03	1.03E-04	3.69E-05	3.54E-03	1.67E-06		
035	A	BH-93152	1061.5	8.58E-03	7.40E-05	3.57E-05	3.97E-03	1.25E-06		
035	A	BH-93152	1056.0	8.10E-03	9.46E-05	3.30E-05	3.92E-03	1.79E-06		
035	A	BH-93152	1050.5	8.63E-03	9.20E-05	1.85E-05	3.48E-03	2.01E-06		
035	A	BH-93152	1045.0	7.89E-03	8.22E-05	6.42E-06	3.92E-03	3.20E-06		
035	A	BH-93152	1039.5	6.61E-03	8.40E-05	6.07E-06	3.81E-03	3.27E-06		
035	A	BH-93152	1034.0	6.90E-03	7.77E-05	9.51E-06	4.82E-03	2.66E-06		
035	A	BH-93152	1028.5	6.70E-03	7.62E-05	9.23E-06	5.44E-03	3.17E-06		
035	A	BH-93152	1023.0	7.08E-03	8.26E-05	1.29E-05	5.44E-03	3.38E-06		
035	A	BH-93152	1017.5	7.14E-03	7.62E-05	1.27E-05	5.34E-03	3.56E-06		
035	A	BH-93152	1012.0	7.64E-03	8.02E-05	1.19E-05	4.70E-03	3.84E-06		
035	A	BH-93152	1006.5	7.34E-03	7.33E-05	1.28E-05	4.03E-03	3.77E-06		
035	A	BH-93152	1001.0	7.73E-03	7.71E-05	1.13E-05	4.13E-03	3.09E-06		
035	A	BH-93152	995.5	7.41E-03	7.30E-05	1.07E-05	3.79E-03	2.19E-06		
035	A	BH-93152	990.0	8.14E-03	7.45E-05	1.38E-05	3.83E-03	2.97E-06		
035	A	BH-93152	984.5	8.55E-03	7.38E-05	1.44E-05	4.29E-03	2.84E-06		
035	A	BH-93152	979.0	7.92E-03	7.16E-05	1.38E-05	4.32E-03	2.83E-06		
035	A	BH-93152	973.5	7.03E-03	7.41E-05	1.36E-05	4.32E-03	3.29E-06		
035	A	BH-93152	968.0	6.69E-03	7.79E-05	1.09E-05	4.11E-03	2.47E-06		
035	A	BH-93152	962.5	5.97E-03	6.64E-05	5.77E-06	3.32E-03	1.73E-06		
035	A	BH-93152	957.0	6.28E-03	5.69E-05	1.04E-05	3.06E-03	1.88E-06		
035	A	BH-93152	951.5	6.34E-03	4.84E-05	1.25E-05	2.93E-03	1.88E-06		
