"ID";"Distance_um";"d18O";"OH";"SE_permil"
"#O";1897.67779140717;-8.5818793;0.0269;0.21
"#P";1889.69891781733;-8.1453748;0.0275;0.19
"#O";1860.80762036273;-8.7273808;0.0276;0.2
"#P";1854.19119833959;-7.5924691;0.0273;0.17
"#O";1825.20711153556;-6.0695534;0.0255;0.22
"#P";1817.83195042886;-7.2820659;0.0258;0.17
"#O";1788.97177171693;-4.8085404;0.0262;0.2
"#P";1782.324325144;-5.0316427;0.0259;0.15
"#O";1752.73643198286;-8.5624791;0.0257;0.19
"#P";1746.8168192458;-6.1859546;0.0258;0.19
"#O";1716.50109233871;-5.4196467;0.0244;0.18
"#P";1710.45754112752;-7.1074641;0.0253;0.2
"#O";1680.90094889616;-5.7203498;0.0264;0.22
"#P";1674.95014851189;-3.4214261;0.0253;0.21
"#N";1656.86118911634;-8.48487829999999;0.0248;0.16
"#O";1644.66561951054;-5.7300499;0.0269;0.18
"#P";1639.44289318049;-6.3508563;0.0225;0.17
"#N";1622.20713843825;-8.6303798;0.0238;0.14
"#O";1608.43029068717;-7.5536687;0.0254;0.19
"#P";1603.08359108313;-7.8931722;0.0248;0.19
"#N";1587.5531487166;-8.7758813;0.0244;0.18
"#O";1572.83056938756;-7.582769;0.0265;0.19
"#P";1567.57647341366;-6.5739586;0.0233;0.16
"#N";1552.18458953824;-4.9443418;0.0246;0.14
"#O";1536.59526226004;-4.2653348;0.0242;0.16
"#P";1531.21716291322;-6.21505489999999;0.0233;0.17
"#N";1517.53088930671;-5.836751;0.0253;0.18
"#R";1501.33440645314;-6.3702565;0.0257;0.19
"#O";1500.35995681036;-7.7864711;0.0236;0.18
"#P";1495.71019920304;-6.9134621;0.0241;0.2
"#N";1482.87727071393;-7.91257239999999;0.0275;0.19
"#R";1466.80912186965;-7.8834721;0.0264;0.18
"#O";1464.12465316311;-8.4363778;0.0254;0.19
"#P";1460.20341048773;-7.9028723;0.0262;0.11
"#N";1448.22373962037;-8.7564811;0.0267;0.2
"#Q";1434.05892487024;-6.7388603;0.0253;0.18
"#R";1431.29871096148;-8.3296767;0.0274;0.19
"#O";1428.52546354624;-5.8755514;0.0254;0.21
"#P";1423.84409258879;-8.4751782;0.0289;0.17
"#N";1412.85668062971;-7.7573708;0.0279;0.19
"#Q";1397.6623340421;-9.0183838;0.0249;0.19
"#R";1396.77342471855;-10.1532955;0.025;0.21
"#O";1392.29019963512;-7.3984671;0.0254;0.2
"#P";1388.33749499176;-7.9513728;0.026;0.18
"#N";1378.20354084584;-5.8464511;0.0261;0.14
"#Q";1364.06194873987;-8.7758813;0.0241;0.14
"#R";1361.26301646669;-8.9795834;0.0263;0.16
"#O";1356.05493988997;-7.67977;0.0244;0.2
"#P";1352.83110549691;-6.4963578;0.0287;0.19
"#N";1343.55052007731;-4.9831422;0.0283;0.15
"#Q";1328.25788158776;-8.7758813;0.0237;0.19
"#R";1326.73772841508;-8.8146817;0.0278;0.17
"#O";1320.45636050572;-8.4266777;0.0234;0.17
"#P";1316.47179992585;-6.7776607;0.0261;0.15
"#N";1308.8976277769;-6.6515594;0.0272;0.16
"#Q";1293.25944806137;-8.7661812;0.0243;0.18
"#R";1292.21244383422;-5.5166477;0.0264;0.18
"#O";1284.22116475317;-8.1065744;0.0236;0.2
"#P";1280.96565137399;-7.3111662;0.0258;0.17
"#T";1280.40813805599;-7.3014661;0.0269;0.15
"#N";1274.24487442563;-7.7864711;0.0281;0.23
"#Q";1258.85344659337;-6.6321592;0.026;0.22
"#R";1256.70203310093;-6.9716627;0.0262;0.15
"#O";1247.98597748532;-7.485768;0.0244;0.18
"#T";1246.00361155175;-9.8234921;0.0248;0.15
"#P";1245.4597544682;-7.9513728;0.0279;0.22
"#N";1238.88013948081;-7.0298633;0.029;0.17
"#Q";1223.85497506853;-5.9531522;0.0254;0.18
"#R";1222.17674662874;-6.9425624;0.025;0.2
"#T";1212.16665520876;-8.5430789;0.0258;0.17
"#O";1211.75079946332;-6.418757;0.0243;0.16
"#P";1209.10049210146;-8.3684771;0.0277;0.2
"#N";1204.22796845116;-4.7115394;0.0287;0.17
"#Q";1188.85659353851;-6.4963578;0.0256;0.18
"#R";1186.66633895127;-8.4363778;0.0258;0.16
"#T";1177.76228501341;-8.2326757;0.0274;0.18
"#O";1176.15305126501;-5.3420459;0.0258;0.19
"#P";1173.59490455608;-8.7758813;0.0278;0.2
"#N";1169.57599154565;-8.3005764;0.0264;0.2
"#Q";1153.85831019237;-7.09776399999999;0.0248;0.14
"#R";1152.1410503927;-9.0959846;0.0255;0.2
"#T";1143.3582115855;-5.5360479;0.0305;0.19
"#O";1139.91797950554;-5.2644451;0.0263;0.15
"#P";1138.08962740199;-7.1656647;0.0262;0.2
"#N";1134.92422654554;-8.5721792;0.0283;0.19
"#S";1119.73211081937;-8.5624791;0.0293;0.18
"#Q";1118.64650359262;-8.5236787;0.0251;0.21
"#R";1117.61576581578;-8.5236787;0.0278;0.2
"#T";1109.52106784865;-6.54485829999999;0.029;0.19
"#O";1103.68292548177;-6.321756;0.0239;0.19
"#P";1101.73045705381;-7.4760679;0.0266;0.18
"#N";1099.56218559934;-7.5730689;0.0294;0.18
"#S";1083.67707367093;-4.9055414;0.0273;0.2
"#Q";1083.64800558115;-9.425788;0.0256;0.19
"#R";1082.10535531435;-8.0289736;0.0279;0.19
"#T";1075.11720291325;-8.6109796;0.0277;0.16
"#O";1068.08613884836;-6.8940619;0.0239;0.19
"#P";1066.22558588696;-9.231786;0.0286;0.18
"#N";1064.91126390888;-5.9434521;0.0287;0.17
"#Q";1048.64960782904;-8.5042785;0.0242;0.19
"#S";1047.62206925971;-5.0995434;0.0283;0.17
"#R";1047.58006853892;-6.76796059999999;0.0309;0.18
"#T";1040.71369742115;-8.8340819;0.0264;0.16
"#O";1031.85124896954;-6.9425624;0.0229;0.16
"#P";1029.8664962023;-8.067774;0.0298;0.17
"#N";1029.55621507521;-8.1259746;0.0274;0.23
"#Q";1014.24356049225;-8.3005764;0.0253;0.16
"#R";1013.05478627762;-6.4090569;0.0298;0.17
"#S";1011.56710108623;-5.9046517;0.0271;0.17
"#T";1006.87635785135;-7.7088703;0.0299;0.21
"#O";995.616391990409;-7.1268643;0.0245;0.16
"#P";994.362107081721;-7.7185704;0.0294;0.19
"#N";994.201186883218;-8.3199766;0.027;0.18
"#Q";979.245117424642;-5.9919526;0.0259;0.17
"#R";977.54437239442;-6.903762;0.0288;0.15
"#S";975.512173168536;-6.5545584;0.0277;0.2
"#T";972.473135875742;-6.7582605;0.029;0.16
"#O";959.38157163873;-7.9901732;0.025;0.19
"#P";958.858175122891;-7.3111662;0.03;0.2
"#N";958.846181616217;-7.3499666;0.0284;0.18
"#Q";944.246789774792;-7.6312695;0.0265;0.15
"#R";943.019087823783;-7.000763;0.0287;0.17
"#S";939.119268250844;-6.3120559;0.029;0.2
"#T";938.070359834485;-5.9046517;0.0303;0.15
"#O";923.786230683268;-8.8825824;0.0288;0.17
"#N";922.781122477048;-7.0589636;0.0264;0.2
"#P";922.499322492976;-6.903762;0.0281;0.2
"#Q";908.442623394565;-8.358777;0.0263;0.2
"#R";907.508677644462;-8.4363778;0.032;0.19
"#T";904.232824000545;-5.4099466;0.028;0.19
"#S";903.064228059112;-5.8173508;0.0278;0.14
"#O";887.551688635653;-8.455778;0.0287;0.2
"#N";887.426053257397;-8.3490769;0.0275;0.18
"#P";886.996054106218;-8.1162745;0.026;0.18
"#Q";874.036612505449;-8.7370809;0.0259;0.17
"#R";872.983390449097;-7.6894701;0.0311;0.2
"#T";869.830443247418;-6.1665544;0.0291;0.18
"#S";867.009227171199;-4.8085404;0.0277;0.18
"#N";852.071006430802;-8.6885804;0.0269;0.18
"#P";851.493393984945;-8.552779;0.0278;0.19
"#O";851.317214673825;-5.7494501;0.0248;0.2
"#Q";839.038139776733;-8.7079806;0.0262;0.18
"#R";838.458108673296;-8.455778;0.0312;0.21
"#T";835.428632499509;-7.7864711;0.0305;0.15
"#S";830.954270703268;-4.4496367;0.0275;0.18
"#N";816.715984905401;-7.8640719;0.0273;0.21
"#O";815.723605150666;-7.2529656;0.0293;0.18
"#P";815.134958151103;-8.9601832;0.0297;0.19
"#Q";804.039800009925;-8.6206797;0.0271;0.2
"#R";802.947694435945;-9.3384871;0.0304;0.16
"#T";801.590918112225;-7.5148683;0.0315;0.18
"#S";794.899364699708;-4.672739;0.0312;0.16
"#N";781.36099211568;-8.0871742;0.0273;0.2
"#P";779.63324711046;-8.5915794;0.0313;0.18
"#O";779.489576582009;-7.3790669;0.0298;0.2
