"ID";"Distance_um";"d18O";"OH";"SE_permil"
"#K";2034.46430295545;-5.4681472;0.0236;0.152
"#C";2008.99502239304;-4.27503489999999;0.0213;0.162
"#K";1999.11105244306;-7.5924691;0.0243;0.173
"#C";1973.64662490528;-4.4593368;0.0234;0.18
"#K";1963.75787713251;-7.6506697;0.0234;0.151
"#C";1938.29848062676;-5.1092435;0.0256;0.17
"#K";1928.40478115981;-8.3684771;0.026;0.145
"09";1926.94628882073;-4.8958413;0.027;0.198
"#L";1925.97845263129;-7.1365644;0.0268;0.183
"#C";1903.07172749742;-5.2935454;0.0247;0.188
"#K";1893.05176896988;-3.79973;0.0224;0.139
"09";1891.77826396224;-5.7688503;0.0271;0.193
"#L";1890.2066024644;-9.1638853;0.0215;0.164
"#C";1867.72374830969;-5.2450449;0.0265;0.152
"#K";1857.69884534604;-5.6524491;0.0233;0.154
"09";1856.61035222795;-7.0686637;0.0272;0.156
"#L";1854.43495437289;-8.9213828;0.0243;0.175
"#M";1849.45451417438;-6.8843618;0.0253;0.183
"#C";1832.49693042035;-4.2944351;0.0235;0.135
"#K";1822.34601544273;-6.903762;0.0226;0.187
"09";1821.44256017037;-5.545748;0.0273;0.196
"#L";1818.66352028076;-5.5360479;0.0256;0.162
"#M";1814.45556572764;-9.0183838;0.0237;0.132
"#C";1797.27015220306;-4.76974;0.023;0.169
"#K";1786.9932848223;-8.64978;0.0243;0.174
"09";1786.51756218628;-6.3993568;0.0271;0.212
"#L";1782.89231306885;-8.3005764;0.0231;0.168
"#M";1778.85047151243;-6.4672575;0.0221;0.146
"#C";1761.9222457305;-5.3711462;0.023;0.145
"#G";1757.08907002462;-6.54485829999999;0.0248;0.157
"#K";1752.3390082972;-8.1356747;0.0239;0.183
"09";1751.34976518113;-5.64274899999999;0.0273;0.185
"02";1748.56655578219;-5.9919526;0.0261;0.141
"#L";1747.12134667286;-8.5624791;0.0227;0.155
"#M";1743.2455363488;-6.5933588;0.0232;0.179
"10";1732.50569984632;-5.7494501;0.0252;0.181
"#C";1726.69539873135;-5.4681472;0.0227;0.174
"#G";1721.87252722145;-8.3975774;0.0241;0.165
"#K";1717.68477899759;-7.388767;0.0254;0.182
"09";1716.42477260147;-3.4602265;0.0273;0.185
"02";1713.33884564613;-6.1956547;0.0244;0.202
"#L";1711.35063619353;-7.7961712;0.0254;0.178
"#M";1707.64077018558;-7.2723658;0.0228;0.191
"#D";1702.55719434033;-4.3914361;0.0253;0.193
"10";1697.62333867086;-6.1083538;0.0249;0.189
"01";1692.0738754558;-4.9055414;0.0264;0.158
"#C";1691.34768749657;-5.3323458;0.0225;0.146
"05";1690.84742067402;-4.1392335;0.0243;0.161
"#G";1686.65645583207;-8.940783;0.0238;0.17
"#K";1683.03059984066;-4.866741;0.0227;0.176
"09";1681.25697024577;-5.157744;0.0274;0.191
"02";1678.11114053867;-5.5845484;0.024;0.195
"#L";1675.58019802097;-5.157744;0.0246;0.191
"#M";1672.036183819;-4.8376407;0.0216;0.167
"#D";1667.22404013378;-4.7988403;0.0277;0.177
"10";1662.74111033558;-8.0871742;0.027;0.23
"01";1656.84791094415;-4.5951382;0.0266;0.18
"05";1656.72266840289;-5.08984329999999;0.0248;0.162
"#C";1656.12076854316;-5.4099466;0.0225;0.152
"#G";1651.98668275504;-8.261776;0.0243;0.176
"#K";1648.37647398888;-4.5854381;0.0233;0.167
"09";1646.33198353188;-6.6030589;0.0276;0.179
"02";1643.70830745604;-6.2538553;0.023;0.157
"#L";1640.23961664142;-6.70976;0.0224;0.17
"#M";1636.4317889848;-7.6991702;0.0201;0.182
"#D";1631.89123412071;-5.4099466;0.024;0.162
"10";1628.30525393736;-5.4778473;0.0236;0.186
"05";1622.5982250699;-5.0122425;0.0241;0.156
"01";1621.62202747743;-4.7794401;0.0247;0.191
"#C";1620.89388918584;-5.3711462;0.0206;0.15
"#G";1617.31691390401;-5.4293468;0.0232;0.168
"#K";1613.72240487638;-6.0986537;0.0226;0.169
"09";1611.16417537134;-3.3244251;0.0275;0.181
"02";1609.30575093734;-5.9919526;0.0212;0.16
"#L";1604.89906224659;-8.1841752;0.0229;0.167
"#M";1600.82759846275;-6.5060579;0.0199;0.214
"#D";1596.5587994183;-6.4866577;0.0243;0.171
"10";1593.42304489423;-5.6330489;0.0248;0.221
"05";1588.47411058538;-5.73975;0.0263;0.149
"01";1587.3909411358;-5.4681472;0.0237;0.161
"#C";1585.54627810102;-5.0316427;0.0232;0.155
"#G";1582.64714955672;-6.1762545;0.0234;0.179
"#K";1579.06839623874;-6.70976;0.0229;0.175
"09";1576.23919504623;-8.5624791;0.0258;0.2
"02";1574.07814291413;-5.3032455;0.0236;0.184
"#H";1569.84871882612;-5.7785504;0.0231;0.153
"#L";1569.55853665927;-6.612759;0.025;0.203
"#M";1565.22362619531;-3.5669276;0.02;0.174
"#D";1560.78185535327;-6.515758;0.0257;0.154
"10";1558.98717121085;-8.3878773;0.0243;0.183
"05";1554.35034660787;-5.9628523;0.0265;0.165
"01";1552.26801809481;-6.3023558;0.0261;0.189
"#C";1550.31932194629;-5.8173508;0.0229;0.168
"#G";1547.97739001576;-7.7573708;0.0247;0.174
"#K";1544.41445214683;-7.3499666;0.0231;0.2
"09";1541.07138056613;-7.67977;0.0268;0.229
"02";1539.67593993022;-6.2538553;0.0272;0.182
"#H";1534.96319174109;-6.5933588;0.0229;0.162
"#L";1534.21804187019;-5.6233488;0.0243;0.146
"03";1531.8707517281;-3.4214261;0.0237;0.183
"#M";1528.82307674891;-7.9901732;0.0205;0.186
"#D";1525.44976974006;-6.4381572;0.0245;0.181
"10";1524.10498326067;-7.8834721;0.0261;0.18
"05";1520.22695674034;-6.903762;0.025;0.178
"01";1518.03689019734;-6.5060579;0.025;0.19
"#C";1515.09240642279;-4.3041352;0.0228;0.158
"#G";1512.76204341595;-8.3975774;0.0222;0.209
"#K";1509.76057704525;-7.67977;0.0268;0.172
"09";1506.14640722607;-8.1841752;0.0274;0.182
"02";1505.27406142536;-7.6991702;0.0249;0.177
"#H";1500.07766465607;-8.4751782;0.0263;0.152
"#L";1498.87758005782;-7.4760679;0.0211;0.173
"#A";1496.86205109222;-6.7000599;0.0273;0.105
"03";1496.26200914145;-4.4496367;0.0242;0.178
"#M";1492.42252730251;-7.776771;0.0195;0.154
"#D";1489.67278286206;-7.3790669;0.0241;0.163
"10";1489.6690907715;-4.3914361;0.0247;0.242
"05";1486.10396675334;-5.2062445;0.0245;0.181
"01";1483.90868991323;-6.3023558;0.0249;0.182
"#C";1479.74491044909;-5.4099466;0.0234;0.184
"#E";1479.00845163238;-4.7018393;0.0258;0.171
"#G";1478.09235164789;-7.9028723;0.0218;0.169
"#K";1475.10677579625;-4.9055414;0.0265;0.175
"09";1470.97858584005;-7.9998733;0.0273;0.186
"02";1470.87253016704;-6.52545809999999;0.0279;0.19
"#H";1466.08082996812;-4.9831422;0.0243;0.185
"#L";1463.53715361107;-7.5439686;0.0232;0.149
"#A";1461.5149674225;-5.7591502;0.0265;0.167
"03";1460.65327850247;-5.1480439;0.0242;0.195
"#M";1456.0219778561;-7.7864711;0.0214;0.152
"10";1454.7869259792;-7.5051682;0.0265;0.224
"#D";1454.34108791576;-6.4381572;0.0248;0.176
"05";1451.98140483961;-4.3623358;0.0234;0.182
"01";1448.68285003999;-6.6903598;0.0253;0.181
"#C";1444.51791266152;-4.9734421;0.0231;0.197
"#E";1444.00865648375;-4.7891402;0.0278;0.162
"#G";1443.4226685209;-6.7194601;0.0242;0.161
"#B";1440.85981275071;-6.54485829999999;0.0236;0.158
"#K";1440.45305372997;-4.8570409;0.0235;0.186
"09";1436.05362016883;-5.1868443;0.0274;0.186
"02";1435.64515114286;-7.3984671;0.0286;0.155
"#H";1432.54249500669;-5.4681472;0.0232;0.181
"#L";1428.19676515528;-7.2529656;0.0254;0.176
"#A";1426.16829301454;-4.8958413;0.0258;0.179
"03";1425.65949651381;-5.08984329999999;0.024;0.168
"10";1420.35101295419;-7.2529656;0.0267;0.164
"#D";1419.90492639472;-6.9716627;0.0259;0.185
"#M";1419.6214284097;-6.7582605;0.0213;0.178
"05";1417.85930190552;-4.8764411;0.0242;0.177
"01";1414.55470025022;-7.0395634;0.0275;0.17
"#C";1409.29095647421;-5.0219426;0.0247;0.132
"#E";1409.00887151217;-4.8570409;0.0274;0.159
"#G";1408.75299467295;-4.672739;0.0226;0.19
"#B";1406.65738543542;-6.6515594;0.0235;0.164
"#K";1405.79941670211;-5.5748483;0.0228;0.175
"02";1401.24409008566;-7.194765;0.0341;0.172
"09";1400.88579120498;-4.4302365;0.0275;0.185
"#H";1397.65696792883;-9.2123858;0.0236;0.165
"#L";1392.85641758223;-6.9716627;0.0259;0.17
"#A";1390.94104835539;-5.6621492;0.0252;0.153
"03";1390.05071849915;-5.8949516;0.0253;0.193
"#I";1390.02302139209;-5.448747;0.0235;0.144
"10";1385.46887370305;-4.6630389;0.0239;0.21
"#D";1385.02310450043;-6.9328623;0.0259;0.185
"05";1383.73769190551;-5.545748;0.0254;0.164
"#M";1383.2208789633;-6.8649616;0.0215;0.181
"01";1380.32351280415;-8.1356747;0.0277;0.155
"#F";1379.49447262394;-4.2071342;0.0254;0.177
"#E";1375.00909087904;-5.3905464;0.0263;0.17
"#G";1374.0833308064;-5.0219426;0.0234;0.17
"#C";1373.94359418427;-4.5563378;0.0247;0.188
"#B";1372.4550994477;-5.64274899999999;0.0235;0.15
"#K";1371.14587116032;-5.7882505;0.0239;0.165
"02";1366.84344385156;-5.3032455;0.0272;0.199
"09";1365.96083399196;-5.8464511;0.0272;0.176
"#H";1363.66014827742;-7.5245684;0.0225;0.167
"#L";1357.51611408484;-8.4751782;0.0251;0.155
"#A";1356.70667426677;-5.8658513;0.0239;0.17
"03";1355.05719436487;-6.030753;0.0279;0.179
"#I";1355.02361603036;-6.0986537;0.0247;0.143
"10";1351.0329381625;-7.9416727;0.0252;0.169
"#D";1350.58690945825;-5.9434521;0.0283;0.161
"05";1349.61661222734;-6.321756;0.0255;0.202
"#M";1346.8203295169;-7.7670709;0.0216;0.171
"01";1345.20072851601;-7.485768;0.0307;0.115
"#F";1344.83642127955;-4.7115394;0.0267;0.182
"#E";1340.00932832574;-5.6233488;0.025;0.167
"#G";1338.86892562342;-6.4769576;0.0245;0.172
"#C";1338.71654953541;-4.9831422;0.0258;0.182
"#B";1337.62849850024;-5.8949516;0.0224;0.121
"#K";1336.49242422095;-7.1850649;0.0241;0.178
"02";1332.44324456991;-5.0025424;0.0278;0.16
