"simsID"	"fishID"	"quality"	"age"	"cohort"	"core"	"year"	"yearclass"	"increment_um"	"rad_um"
"01"	"BH-93143"	3	3	2019	173.1	0	0	0	0
"01"	"BH-93143"	3	3	2019	173.1	1	1	463.7	463.7
"01"	"BH-93143"	3	3	2019	173.1	2	2	509.3	1008
"01"	"BH-93143"	3	3	2019	173.1	3	3	440	1473
"01"	"BH-93143"	3	3	2019	173.1	4	4	3.2	1476.2
"02"	"BH-93002"	3	3	2018	172.3	0	0	0	0
"02"	"BH-93002"	3	3	2018	172.3	1	1	851.4	851.4
"02"	"BH-93002"	3	3	2018	172.3	2	2	373.2	1224.6
"02"	"BH-93002"	3	3	2018	172.3	3	3	438.5	1663.1
"02"	"BH-93002"	3	3	2018	172.3	4	4	4	1667.1
"03"	"BH-92993"	3	3	2019	133.8	0	0	0	0
"03"	"BH-92993"	3	3	2019	133.8	1	1	805.4	805.4
"03"	"BH-92993"	3	3	2019	133.8	2	2	245.4	1050.8
"03"	"BH-92993"	3	3	2019	133.8	3	3	424	1474.8
"03"	"BH-92993"	3	3	2019	133.8	4	4	3.4	1478.2
"05"	"BH-93005"	3	3	2019	206.2	0	0	0	0
"05"	"BH-93005"	3	3	2019	206.2	1	1	702.8	702.8
"05"	"BH-93005"	3	3	2019	206.2	2	2	408.7	1111.5
"05"	"BH-93005"	3	3	2019	206.2	3	3	281.7	1388.2
"05"	"BH-93005"	3	3	2019	206.2	4	4	6.1	1394.3
"06"	"BH-93116"	3	2	2020	195.9	0	0	0	0
"06"	"BH-93116"	3	2	2020	195.9	1	1	728.1	728.1
"06"	"BH-93116"	3	2	2020	195.9	2	2	320.9	1014
"06"	"BH-93116"	3	2	2020	195.9	3	3	1	1015
"07"	"BH-93066"	3	2	2020	221.4	0	0	0	0
"07"	"BH-93066"	3	2	2020	221.4	1	1	733.8	733.8
"07"	"BH-93066"	3	2	2020	221.4	2	2	393	1126.8
"07"	"BH-93066"	3	2	2020	221.4	3	3	1.9	1128.7
"08"	"BH-93178"	1	2	2020	323.3	0	0	0	0
"08"	"BH-93178"	1	2	2020	323.3	1	1	993	993
"08"	"BH-93178"	1	2	2020	323.3	2	2	323.8	1306.8
"08"	"BH-93178"	1	2	2020	323.3	3	3	1.9	1308.7
"09"	"BH-51614"	3	9	2013	125.6	0	0	0	0
"09"	"BH-51614"	3	9	2013	125.6	1	1	326.5	326.5
"09"	"BH-51614"	3	9	2013	125.6	2	2	306.1	632.6
"09"	"BH-51614"	3	9	2013	125.6	3	3	362	989.6
"09"	"BH-51614"	3	9	2013	125.6	4	4	214.9	1204.5
"09"	"BH-51614"	3	9	2013	125.6	5	5	209.1	1413.6
"09"	"BH-51614"	3	9	2013	125.6	6	6	218.8	1632.4
"09"	"BH-51614"	3	9	2013	125.6	7	7	104.1	1736.5
"09"	"BH-51614"	3	9	2013	125.6	8	8	105.5	1842
"09"	"BH-51614"	3	9	2013	125.6	9	9	98.7	1940.7
"09"	"BH-51614"	3	9	2013	125.6	10	10	4	1944.7
"10"	"BH-93003"	3	10	2012	28.4	0	0	0	0
"10"	"BH-93003"	3	10	2012	28.4	1	1	259.7	259.7
"10"	"BH-93003"	3	10	2012	28.4	2	2	341.7	601.4
"10"	"BH-93003"	3	10	2012	28.4	3	3	247.8	849.2
"10"	"BH-93003"	3	10	2012	28.4	4	4	120	969.2
"10"	"BH-93003"	3	10	2012	28.4	5	5	156.8	1126
"10"	"BH-93003"	3	10	2012	28.4	6	6	145.2	1271.2
"10"	"BH-93003"	3	10	2012	28.4	7	7	125.8	1397
"10"	"BH-93003"	3	10	2012	28.4	8	8	120	1517
"10"	"BH-93003"	3	10	2012	28.4	9	9	126.3	1643.3
"10"	"BH-93003"	3	10	2012	28.4	10	10	110.4	1753.7
"10"	"BH-93003"	3	10	2012	28.4	11	11	3.9	1757.6
"#A"	"BH-93152"	3	2	2020	489.3	0	0	0	0
"#A"	"BH-93152"	3	2	2020	489.3	1	1	950.4	950.4
"#A"	"BH-93152"	3	2	2020	489.3	2	2	425.3	1400.7
"#A"	"BH-93152"	3	2	2020	489.3	3	3	82.4	1473.1
"#B"	"BH-92996"	3	2	2020	300.6	0	0	0	0
"#B"	"BH-92996"	3	2	2020	300.6	1	1	900.7	900.7
"#B"	"BH-92996"	3	2	2020	300.6	2	2	480.6	1381.3
"#B"	"BH-92996"	3	2	2020	300.6	3	3	14.8	1396.1
"#C"	"BH-93172"	3	3	2019	304	0	0	0	0
"#C"	"BH-93172"	3	3	2019	304	1	1	947.5	947.5
"#C"	"BH-93172"	3	3	2019	304	2	2	602.2	1511.7
"#C"	"BH-93172"	3	3	2019	304	3	3	408.5	1705.2
"#C"	"BH-93172"	3	3	2019	304	4	4	0	1705.2
"#D"	"BH-93015"	3	2	2020	321.1	0	0	0	0
"#D"	"BH-93015"	3	2	2020	321.1	1	1	982.9	982.9
"#D"	"BH-93015"	3	2	2020	321.1	2	2	445.3	1428.2
"#D"	"BH-93015"	3	2	2020	321.1	3	3	1.5	1429.7
"#E"	"BH-91549"	3	3	2019	251.2	0	0	0	0
"#E"	"BH-91549"	3	3	2019	251.2	1	1	594	594
"#E"	"BH-91549"	3	3	2019	251.2	2	2	441.4	1035.4
"#E"	"BH-91549"	3	3	2019	251.2	3	3	451.6	1487
"#E"	"BH-91549"	3	3	2019	251.2	4	4	1.9	1488.9
"#F"	"BH-91570"	3	3	2019	224.6	0	0	0	0
"#F"	"BH-91570"	3	3	2019	224.6	1	1	642.6	642.6
"#F"	"BH-91570"	3	3	2019	224.6	2	2	235.2	877.8
"#F"	"BH-91570"	3	3	2019	224.6	3	3	518.4	1396.2
"#F"	"BH-91570"	3	3	2019	224.6	4	4	1	1397.2
"#G"	"BH-91588"	3	4	2018	260.6	0	0	0	0
"#G"	"BH-91588"	3	4	2018	260.6	1	1	642	642
"#G"	"BH-91588"	3	4	2018	260.6	2	2	352.8	1029.8
"#G"	"BH-91588"	3	4	2018	260.6	3	3	248	1232.8
"#G"	"BH-91588"	3	4	2018	260.6	4	4	174.3	1372.1
"#G"	"BH-91588"	3	4	2018	260.6	5	5	4.3	1376.4
"#H"	"BH-91585"	3	6	2016	49.3	0	0	0	0
"#H"	"BH-91585"	3	6	2016	49.3	1	1	459.8	459.8
"#H"	"BH-91585"	3	6	2016	49.3	2	2	439.5	899.3
"#H"	"BH-91585"	3	6	2016	49.3	3	3	265.1	1164.4
"#H"	"BH-91585"	3	6	2016	49.3	4	4	196.7	1336.1
"#H"	"BH-91585"	3	6	2016	49.3	5	5	140.5	1471.6
"#H"	"BH-91585"	3	6	2016	49.3	6	6	122	1588.6
"#H"	"BH-91585"	3	6	2016	49.3	7	7	1	1589.6
"#I"	"BH-93170"	3	9	2013	124.6	0	0	0	0
"#I"	"BH-93170"	3	9	2013	124.6	1	1	310.3	310.3
"#I"	"BH-93170"	3	9	2013	124.6	2	2	139.4	449.7
"#I"	"BH-93170"	3	9	2013	124.6	3	3	211	660.7
"#I"	"BH-93170"	3	9	2013	124.6	4	4	214.9	875.6
"#I"	"BH-93170"	3	9	2013	124.6	5	5	139.7	1015.3
"#I"	"BH-93170"	3	9	2013	124.6	6	6	149.1	1154.4
"#I"	"BH-93170"	3	9	2013	124.6	7	7	77.4	1231.8
"#I"	"BH-93170"	3	9	2013	124.6	8	8	95	1326.8
"#I"	"BH-93170"	3	9	2013	124.6	9	9	58.1	1409.9
"#I"	"BH-93170"	3	9	2013	124.6	10	10	0	1409.9
"#J"	"BH-91534"	3	2	2020	153.7	0	0	0	0
"#J"	"BH-91534"	3	2	2020	153.7	1	1	549.9	549.9
"#J"	"BH-91534"	3	2	2020	153.7	2	2	488.8	1038.7
"#J"	"BH-91534"	3	2	2020	153.7	3	3	28.7	1067.4
"#K"	"BH-93007"	3	5	2016	17.7	0	0	0	0
"#K"	"BH-93007"	3	5	2016	17.7	1	1	652.1	652.1
"#K"	"BH-93007"	3	5	2016	17.7	2	2	517.1	1309.2
"#K"	"BH-93007"	3	5	2016	17.7	3	3	214.9	1489.1
"#K"	"BH-93007"	3	5	2016	17.7	4	4	238.3	1727.4
"#K"	"BH-93007"	3	5	2016	17.7	5	5	153.3	1875.7
"#K"	"BH-93007"	3	5	2016	17.7	6	6	0.6	1866.3
"#L"	"BH-93109"	3	9	2013	122.1	0	0	0	0
"#L"	"BH-93109"	3	9	2013	122.1	1	1	458.8	458.8
"#L"	"BH-93109"	3	9	2013	122.1	2	2	275.9	734.7
"#L"	"BH-93109"	3	9	2013	122.1	3	3	214.9	949.6
"#L"	"BH-93109"	3	9	2013	122.1	4	4	179.1	1128.7
"#L"	"BH-93109"	3	9	2013	122.1	5	5	141.3	1270
"#L"	"BH-93109"	3	9	2013	122.1	6	6	139.4	1409.4
"#L"	"BH-93109"	3	9	2013	122.1	7	7	131.7	1541.1
"#L"	"BH-93109"	3	9	2013	122.1	8	8	145.5	1686.6
"#L"	"BH-93109"	3	9	2013	122.1	9	9	135.5	1812.1
"#L"	"BH-93109"	3	9	2013	122.1	10	10	2.6	1814.7
"#M"	"BH-92990"	3	6	2016	229	0	0	0	0
"#M"	"BH-92990"	3	6	2016	229	1	1	804.7	804.7
"#M"	"BH-92990"	3	6	2016	229	2	2	348.3	1133
"#M"	"BH-92990"	3	6	2016	229	3	3	213	1321
"#M"	"BH-92990"	3	6	2016	229	4	4	141.2	1462.2
"#M"	"BH-92990"	3	6	2016	229	5	5	73.3	1570.5
"#M"	"BH-92990"	3	6	2016	229	6	6	127.8	1768.3
"#M"	"BH-92990"	3	6	2016	229	7	7	3.9	1772.2
"#N"	"BH-93071"	3	8	2014	126	0	0	0	0
"#N"	"BH-93071"	3	8	2014	126	1	1	384.5	384.5
"#N"	"BH-93071"	3	8	2014	126	2	2	302	686.5
"#N"	"BH-93071"	3	8	2014	126	3	3	282.7	969.2
"#N"	"BH-93071"	3	8	2014	126	4	4	112.3	1081.5
"#N"	"BH-93071"	3	8	2014	126	5	5	135.5	1217
"#N"	"BH-93071"	3	8	2014	126	6	6	151	1368
"#N"	"BH-93071"	3	8	2014	126	7	7	188.9	1556.9
"#N"	"BH-93071"	3	8	2014	126	8	8	121.5	1673.4
"#N"	"BH-93071"	3	8	2014	126	9	9	0	1673.4
"#O"	"BH-91571"	3	9	2013	17.4	0	0	0	0
"#O"	"BH-91571"	3	9	2013	17.4	1	1	359.6	359.6
"#O"	"BH-91571"	3	9	2013	17.4	2	2	160.7	520.3
"#O"	"BH-91571"	3	9	2013	17.4	3	3	339	859.3
"#O"	"BH-91571"	3	9	2013	17.4	4	4	333	1157.3
"#O"	"BH-91571"	3	9	2013	17.4	5	5	272.5	1429.8
"#O"	"BH-91571"	3	9	2013	17.4	6	6	143.3	1558.1
"#O"	"BH-91571"	3	9	2013	17.4	7	7	172.3	1730.4
"#O"	"BH-91571"	3	9	2013	17.4	8	8	77.3	1807.7
"#O"	"BH-91571"	3	9	2013	17.4	9	9	60	1902.7
"#O"	"BH-91571"	3	9	2013	17.4	10	10	2.4	1905.1
"#P"	"BH-93132"	3	9	2013	157	0	0	0	0
"#P"	"BH-93132"	3	9	2013	157	1	1	434.4	434.4
"#P"	"BH-93132"	3	9	2013	157	2	2	318.9	753.3
"#P"	"BH-93132"	3	9	2013	157	3	3	234.3	927.6
"#P"	"BH-93132"	3	9	2013	157	4	4	216.8	1144.4
"#P"	"BH-93132"	3	9	2013	157	5	5	223.6	1368
"#P"	"BH-93132"	3	9	2013	157	6	6	208.1	1546.1
"#P"	"BH-93132"	3	9	2013	157	7	7	163.8	1679.9
"#P"	"BH-93132"	3	9	2013	157	8	8	122	1796.9
"#P"	"BH-93132"	3	9	2013	157	9	9	100.7	1897.6
"#P"	"BH-93132"	3	9	2013	157	10	10	0.3	1897.9
"#Q"	"BH-93047"	3	4	2018	371	0	0	0	0
"#Q"	"BH-93047"	3	4	2018	371	1	1	650	650
"#Q"	"BH-93047"	3	4	2018	371	2	2	348.5	998.5
"#Q"	"BH-93047"	3	4	2018	371	3	3	231.5	1230
"#Q"	"BH-93047"	3	4	2018	371	4	4	220.5	1445.5
"#Q"	"BH-93047"	3	4	2018	371	5	5	0	1445.5
"#R"	"BH-93048"	3	4	2018	286.5	0	0	0	0
"#R"	"BH-93048"	3	4	2018	286.5	1	1	670.4	670.4
"#R"	"BH-93048"	3	4	2018	286.5	2	2	352.8	1023.2
"#R"	"BH-93048"	3	4	2018	286.5	3	3	277.5	1300.7
"#R"	"BH-93048"	3	4	2018	286.5	4	4	232.3	1498
"#R"	"BH-93048"	3	4	2018	286.5	5	5	4	1502
"#S"	"BH-93097"	3	3	2019	93.9	0	0	0	0
"#S"	"BH-93097"	3	3	2019	93.9	1	1	626.8	626.8
"#S"	"BH-93097"	3	3	2019	93.9	2	2	215.7	882.5
"#S"	"BH-93097"	3	3	2019	93.9	3	3	246.8	1269.3
"#S"	"BH-93097"	3	3	2019	93.9	4	4	1.3	1270.6
"#T"	"BH-93114"	3	4	2018	118.1	0	0	0	0
"#T"	"BH-93114"	3	4	2018	118.1	1	1	600.7	600.7
"#T"	"BH-93114"	3	4	2018	118.1	2	2	323.8	924.5
