"ID"	"TL_mm"	"weight"	"sex"	"area"	"capt_date"	"age"	"cohort"	"year"	"inc_um"	"rad_um"	"core"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"LA_dist"
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.000915	0.00641	6.21e-05	7.07e-06	3e-05	0
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.000888	0.00617	7.32e-05	6.42e-06	2.7e-05	5.5
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.000899	0.00665	8.41e-05	6.51e-06	2.16e-05	11
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.000911	0.00703	8.52e-05	6.81e-06	2.18e-05	16.5
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.00096	0.0068	8.69e-05	7.12e-06	2.66e-05	22
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.000999	0.00723	8.72e-05	7.56e-06	3.42e-05	27.5
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.000977	0.00619	7.79e-05	6.83e-06	3.1e-05	33
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.00102	0.00581	7.9e-05	6.71e-06	3.07e-05	38.5
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.000983	0.00571	8.47e-05	6.54e-06	2.77e-05	44
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.00121	0.00601	9.06e-05	7.25e-06	2.76e-05	49.5
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.0013	0.00653	0.000116	7.98e-06	2.95e-05	55
"BH-51614"	885	4624	"f"	"Barthe"	"2022-04-14"	9	2013	1	326.5	326.5	125.6	0.00137	0.00645	9.89e-05	8.4e-06	4.29e-05	60.5
