ID	Scales_magnification	sex	Weight	TL	date	Lat	Long	Temperature	Conductivity	Salinity	area	SIMS	ICPMS	Otophoto	EMS	Raman	muscle (dried)	muscle (homogenized)	muscle (weighed)	eyes (dried)	eyes (homogenized)	eyes (weighed)	eyes (measured)	lens count	comment
BH-00355	1	m	800	552	9.7.2019	53.972464	13.268719	NA	NA		Peene	1	1	1											Wrong coordinates in DB
BH-00356	0.8	f	3000	815	9.7.2019	53.972464	13.268719	NA	NA		Peene	1	1	1						NA					Wrong coordinates in DB
BH-00385	0.8	f	3265	765	10.7.2019	54.312567	12.703852	17.4	1364		Barthe	1	1	1			1	1	1	1	1			7	
BH-00391	0.8	f	5220	903	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	1	1	1						NA					
BH-00392	0.8	f	5600	930	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	1	1	1						NA					
BH-00398	1	f	2655	761	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	1	1	1						NA					
BH-00405	1.25	f	715	466	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	1	1	1											
BH-00411	1	f	1870	677	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	1	1	1											
BH-00418	0.8	f	2450	758	12.7.2019	53.972464	13.268719	19.7	1513		Peene	1	1	1						NA					Wrong coordinates in DB
BH-00419	0.63	f	5780	958	12.7.2019	53.972464	13.268719	19.7	1513		Peene	1	1	1						NA					Wrong coordinates in DB
BH-00424	1.25	m	508	425	12.7.2019	53.972464	13.268719	19.7	1513		Peene	1	1	1											"Misnamed ""428"" in mount"
BH-01906	0.63	f	13600	1230	05.11.2019	54.454675	13.177452	NA	NA	NA	SB	1	1	1			1	1	1	1	1			15	
BH-00681	0.8	m	NA	630	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	1	1	1			1	1	1						
BH-00685	0.8	m	NA	720	29.02.2020	54.633915	13.263042	NA	NA	NA	WB	1	1	1			1	1	1	1	1	1		8	
BH-00689	1	m	NA	600	01.03.2020	54.633915	13.263042	NA	NA	NA	WB	1	1	1			1	1	1						
BH-00696	0.8	f	NA	790	02.03.2020	54.633915	13.263042	NA	NA	NA	WB	1	1	1			1	1	1	1	1	1		9	
BH-00670	0.8	f	NA	680	01.12.2019	NA	NA	NA	NA	NA	KB	1	1	1											
BH-01713	0.63	f	7200	980	08.01.2020	54.454675	13.177452	NA	NA	NA	SB	1	1	1			1	1	1	1	1			16	
BH-01731	0.8	m	6800	950	08.01.2020	54.454675	13.177452	NA	NA	NA	SB	1	1	1			1	1	1	1	1			13	
BH-00742	0.8	m	NA	550	8.11.2019	NA	NA				GB	1	1	1											
BH-00750	0.8	f	NA	560	8.11.2019	NA	NA				GB	1	1	1											
BH-01555	0.8	f	NA	760	8.2.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1			7	
BH-01556	0.63	f	NA	1110	8.2.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1	1			
BH-01560	0.8	f	NA	820	8.2.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1	1		14	
BH-01567	NA	m		460	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1	1			
BH-01569	1	m	NA	550	28.2.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1						
BH-01570	0.8	f	NA	980	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1	1			
BH-01571	1	f	NA	520	28.2.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1	1			
BH-01576	1	f	NA	570	28.2.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1						
BH-01580	NA	f		490	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1						
BH-01582	0.8	f	NA	830	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1	1		10	
BH-01585	1	m	NA	760	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	1	1	1			1	1	1						Eye lens missing?
BH-01588	0.63	f	NA	1050	01.02.2020	54.446995	13.518145	NA	NA	NA	KJB	1	1	1			1	1	1	1	1	1			
BH-01594	1	f	NA	630	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	1	1	1			1	1	1						
BH-01595	0.8	m	NA	690	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	1	1	1			1	1	1	1	1	1		7	
BH-01596	1	f	NA	660	01.01.2020	NA	NA	NA	NA	NA	GJB	1	1	1			1	1	1						
BH-01598	0.8	f	NA	750	01.01.2020	NA	NA	NA	NA	NA	GJB	1	1	1			1	1	1	1	1	1			
BH-01701	0.8	f	NA	880	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1			17	
BH-01868	0.63	f	8700	1010	08.01.2020	54.454675	13.177452	NA	NA	NA	SB	1	1	1			1	1	1	1	1	1			
BH-01717	0.63	f	NA	1040	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1			1	1	1	1	1			16	
BH-01789	1	m	1700	600	26.02.2020	54.41412	13.13059	NA	NA	NA	KB	1	1	1			1	1	1						
BH-01722	0.8	f	NA	950	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	1	1	1						1	1	1			
BH-01809	1	m	900	520	26.02.2020	54.41412	13.13059	NA	NA	NA	KB	1	1	1			1	1	1	1	1	1			
BH-01814	0.63	m	3600	780	26.02.2020	54.41412	13.13059	NA	NA	NA	KB	1	1	1											
BH-01835	0.63	m	3800	820	26.02.2020	54.41412	13.13059	NA	NA	NA	KB	1	1	1			1	1	1	1	1	1			
BH-01741	0.8	f	NA	750	9.10.2020						KD	1	1	1			1	1	1	1	1	1		10	
BH-01737	0.63	f	11500	1130	27.02.2020	54.41412	13.13059	NA	NA	NA	KB	1	1	1			1	1	1	1	1	1			
BH-01767	0.8	f	NA	751	12.9.2020						KD	1	1	1			1	1	1	1	1	1		11	
BH-01772	0.63	f	NA	634	9.10.2020						KD	1	1	1			1	1	1						
BH-01774	0.8	f	NA	638	9.10.2020						KD	1	1	1			1	1	1	1	1	1			
BH-01776	1	f	NA	574	9.10.2020						KD	1	1	1			1	1	1						
BH-01819	0.8	m	2800	680	27.02.2020	54.41412	13.13059	NA	NA	NA	KB	1	1	1			1	1	1						
BH-01860	0.63	f	7900	940	27.02.2020	54.41412	13.13059	NA	NA	NA	KB	1	1	1			1	1	1	1	1	1			
BH-90307	0.63	f	5350	883	16.03.2020	54.454675	13.177452	NA	NA	NA	SB	1	1	1			1	1	1	1	1			12	
BH-01758	0.63	m	2580	682	01.05.2020	54.454675	13.177452	NA	NA	NA	SB	1	1	1			1	1	1	1	1			15	
BH-01802	0.8	m	1980	638	01.05.2020	54.454675	13.177452	NA	NA	NA	SB	1	1	1			1	1	1						
