Otolith;ID;Size(x);Size(y);comment
E-BH-00398;E;3245.17;1200;
D-BH-00392;D;5613.51;1200;
C-BH-00391;C;4057;1200;
B-BH-00356;B;5487;1200;
A-BH-00355;A;2702;1200;
4-BH-91328;4;5015;1200;
3-BH-91117;3;3118.5;1200;
2-BH-91068;2;3250.84;1200;
1-BH-91054;1;2450.16;1200;
Z-BH-91053;Z;2888.83;1200;
Y-BH-91050;Y;3578.5;1200;
X-BH-91045;X;3529.5;1200;
W-BH-91013;W;4188.5;1200;
V-BH-90997;V;4257.5;1200;
U-BH-90981;U;4284.5;1200;
T-BH-90970;T;3824.17;1200;
S-BH-90946;S;3604.17;1200;
R-BH-90928;R;3282.17;1200;
Q-BH-91045;Q;3655.5;1200;
P-BH-00424;P;2638.53;1200;
O-BH-01922;O;4146.5;1200;
N-BH-01877;N;3029.16;1200;
M-BH-01776;M;3841.16;1200;
L-BH-01774;L;3545.5;1200;
K-BH-01772;K;3464.5;1200;
J-BH-01767;J;3873;1200;
I-BH-00419;I;5229.83;1200;
H-BH-00418;H;4512.17;1200;
G-BH-00411;G;3400.83;1200;
F-BH-00405;F;3203.5;1200;
